vendor_id,name,segment
V0118,Gladezone,data_infrastructure
V0119,Wrenbay,data_infrastructure
V0120,Quartzpath,data_infrastructure
V0121,Vervenode,data_infrastructure
V0122,Nimbusio,data_infrastructure
V0123,Elmgate,data_infrastructure
V0124,Elmflow,data_infrastructure
V0125,Nimbusgate,data_infrastructure
V0126,Dapplemark,data_infrastructure
V0127,Ridgespan,data_infrastructure
V0128,Ridgebay,data_infrastructure
V0129,Deltaline,data_infrastructure
V0130,Quillfield,data_infrastructure
V0131,Loombase,data_infrastructure
V0132,Trellisline,data_infrastructure
V0133,Umberbase,data_infrastructure
V0134,Timbreloop,data_infrastructure
V0135,Amberio,data_infrastructure
V0136,Beaconrise,data_infrastructure
V0137,Anchordeep,data_infrastructure
V0138,Quillbay,data_infrastructure
V0139,Kelpio,data_infrastructure
V0140,Elmrise,data_infrastructure
V0141,Quartzline,data_infrastructure
V0142,Rowanhub,data_infrastructure
V0143,Willowtrail,data_infrastructure
V0144,Kitehub,data_infrastructure
V0145,Rivetpeak,data_infrastructure
V0146,Timbreedge,data_infrastructure
V0147,Rowanpath,data_infrastructure
V0148,Nimbuspath,data_infrastructure
V0149,Sableworks,data_infrastructure
V0150,Onyxtrail,data_infrastructure
V0151,Onyxio,data_infrastructure
V0152,Quartzhub,data_infrastructure
V0153,Deltacore,data_infrastructure
V0154,Rowanfield,data_infrastructure
V0155,Vervewell,data_infrastructure
V0156,Hollowforge,data_infrastructure
V0157,Rowanbay,data_infrastructure
V0158,Vectorfold,data_infrastructure
V0159,Emberwell,data_infrastructure
V0160,Sablelabs,data_infrastructure
V0161,Zephyrcore,data_infrastructure
V0162,Beacontrail,data_infrastructure
V0163,Pineconezone,data_infrastructure
V0164,Onyxbay,data_infrastructure
V0165,Rowanedge,data_infrastructure
V0166,Basaltpath,data_infrastructure
V0167,Nettleio,data_infrastructure
V0168,Meridianzone,data_infrastructure
V0169,Larchgrid,data_infrastructure
V0170,Slatefold,data_infrastructure
V0171,Timbrewave,data_infrastructure
V0172,Ridgedeep,data_infrastructure
V0173,Slatedeep,data_infrastructure
V0174,Gablepoint,data_infrastructure
V0175,Vectorcore,data_infrastructure
V0176,Anchornode,ai_applications
V0177,Cascadewell,ai_applications
V0178,Slatefield,ai_applications
V0179,Ivoryfield,ai_applications
V0180,Cascadebase,ai_applications
V0181,Harborgrid,ai_applications
V0182,Fablezone,ai_applications
V0183,Solacefold,ai_applications
V0184,Frostwave,ai_applications
V0185,Meridianpath,ai_applications
V0186,Jasperpoint,ai_applications
V0187,Rowanyard,ai_applications
V0188,Gladecove,ai_applications
V0189,Cascadedeep,ai_applications
V0190,Pineconemark,ai_applications
V0191,Loomfield,ai_applications
V0192,Argonpoint,ai_applications
V0193,Vervelabs,ai_applications
V0194,Larchhub,ai_applications
V0195,Irisio,ai_applications
V0196,Beaconpath,ai_applications
V0197,Cascadegate,ai_applications
V0198,Lumenbase,ai_applications
V0199,Xylofold,ai_applications
V0200,Harborbase,ai_applications
V0201,Basaltworks,ai_applications
V0202,Gladenode,ai_applications
V0203,Timbrefield,ai_applications
V0204,Lumenwave,ai_applications
V0205,Flintio,ai_applications
V0206,Argonrise,ai_applications
V0207,Wrenbase,ai_applications
V0208,Ledgergrid,ai_applications
V0209,Trellisedge,ai_applications
V0210,Ledgerdeep,ai_applications
V0211,Sablerise,ai_applications
V0212,Heronrise,ai_applications
V0213,Rivetpath,ai_applications
V0214,Frostforge,ai_applications
V0215,Xylolabs,ai_applications
V0216,Nimbuspoint,ai_applications
V0217,Kitegrid,ai_applications
V0218,Nimbusfield,ai_applications
V0219,Quillstack,ai_applications
V0220,Basaltrise,ai_applications
V0221,Timbresync,ai_applications
V0222,Marrowmark,ai_applications
V0223,Trellissync,ai_applications
V0224,Juniperlabs,ai_applications
V0225,Anchorpath,ai_applications
V0226,Larchio,ai_applications
V0227,Basalthub,ai_applications
V0228,Trellisly,ai_applications
V0229,Cascaderise,ai_applications
V0230,Emberfold,ai_applications
V0231,Embersync,ai_applications
V0232,Quilldeep,ai_applications
V0233,Slatenode,ai_applications
V0234,Onyxfield,ai_applications
V0235,Harbortrail,ai_applications
V0236,Deltawell,ai_applications
V0237,Elmcore,ai_applications
V0238,Kelpwave,ai_applications
V0239,Anchorsync,ai_applications
V0240,Solacebase,ai_applications
V0241,Frostzone,ai_applications
V0242,Gladeedge,ai_applications
V0243,Pineconely,ai_applications
V0244,Mosszone,ai_applications
V0245,Trellisloop,ai_applications
V0246,Birchstack,ai_applications
V0247,Zephyrgrid,ai_applications
V0248,Deltaspan,ai_applications
V0249,Emberwave,ai_applications
V0250,Hollowcove,ai_applications
V0251,Vantagesync,ai_applications
V0252,Palletedge,ai_applications
V0253,Amberspan,ai_applications
V0254,Flintpath,ai_applications
V0255,Juniperzone,ai_applications
V0256,Hollowpeak,ai_applications
V0257,Birchpath,ai_applications
V0258,Argonpath,ai_applications
V0259,Palletly,ai_applications
V0260,Ridgelabs,ai_applications
V0261,Yarrowbay,ai_applications
V0262,Kelply,ai_applications
V0263,Rowanloop,ai_applications
V0264,Corbelmark,ai_applications
V0265,Ridgegate,ai_applications
V0266,Gablebay,ai_applications
V0267,Xylowell,ai_applications
V0268,Ivorytrail,ai_applications
V0269,Jaspergrid,ai_applications
V0270,Loomgrid,ai_applications
V0271,Elmspan,security
V0272,Driftworks,security
V0273,Lumenwell,security
V0274,Marrowforge,security
V0275,Gabledeep,security
V0276,Nettlewell,security
V0277,Marrowtrail,security
V0278,Gablemark,security
V0279,Emberio,security
V0280,Willowyard,security
V0281,Irispeak,security
V0282,Deltayard,security
V0283,Sablepath,security
V0284,Nimbusnode,security
V0285,Larchly,security
V0286,Wrenfield,security
V0287,Palletpath,security
V0288,Elmcove,security
V0289,Corbelbase,security
V0290,Dapplespan,security
V0291,Slateflow,security
V0292,Corbelhub,security
V0293,Umberrise,security
V0294,Pineconewell,security
V0295,Flintfield,security
V0296,Thistlewell,security
V0297,Zephyrsync,security
V0298,Palletpeak,security
V0299,Ledgerflow,security
V0300,Yarrowgrid,security
V0301,Slateyard,security
V0302,Kelpbase,security
V0303,Meridiancore,security
V0304,Vectorzone,security
V0305,Northtrail,security
V0306,Kestrelgate,security
V0307,Argonstack,security
V0308,Vantagecore,security
V0309,Willowcore,security
V0310,Kestrelrise,security
V0311,Gablewave,security
V0312,Pineconenode,security
V0313,Heronhub,security
V0314,Larchcove,security
V0315,Embergate,security
V0316,Willowfold,security
V0317,Palletline,security
V0318,Northlabs,security
V0319,Junipertrail,security
V0320,Flintstack,security
V0321,Frostmark,security
V0322,Quillgrid,security
V0323,Kelpmark,security
V0324,Basaltyard,security
V0325,Embernode,security
V0326,Emberhub,security
V0327,Mosspoint,security
V0328,Gladewave,security
V0329,Gladeforge,security
V0330,Kitefold,security
V0331,Ledgerbay,security
V0332,Heronpoint,security
V0333,Hollowfold,security
V0334,Nettlebay,security
V0335,Heronline,security
V0336,Emberyard,security
V0337,Pallethub,security
V0338,Jaspermark,security
V0339,Quillbase,security
V0340,Beaconhub,security
V0341,Wrenflow,vertical_saas
V0342,Amberly,vertical_saas
V0343,Yarrowcove,vertical_saas
V0344,Lumenloop,vertical_saas
V0345,Rowandeep,vertical_saas
V0346,Cascadeloop,vertical_saas
V0347,Harborzone,vertical_saas
V0348,Trellistrail,vertical_saas
V0349,Vervecove,vertical_saas
V0350,Sableedge,vertical_saas
V0351,Kestrelbase,vertical_saas
V0352,Juniperline,vertical_saas
V0353,Beaconline,vertical_saas
V0354,Sablely,vertical_saas
V0355,Deltalabs,vertical_saas
V0356,Irismark,vertical_saas
V0357,Ledgerpoint,vertical_saas
V0358,Heronpeak,vertical_saas
V0359,Elmio,vertical_saas
V0360,Corbeltrail,vertical_saas
V0361,Froststack,vertical_saas
V0362,Drifthub,vertical_saas
V0363,Juniperstack,vertical_saas
V0364,Cinderfold,vertical_saas
V0365,Juniperwave,vertical_saas
V0366,Meridianline,vertical_saas
V0367,Birchmark,vertical_saas
V0368,Birchworks,vertical_saas
V0369,Thistlely,vertical_saas
V0370,Palletgrid,vertical_saas
V0371,Zephyrwave,vertical_saas
V0372,Onyxdeep,vertical_saas
V0373,Northbase,vertical_saas
V0374,Elmedge,vertical_saas
V0375,Gladepoint,vertical_saas
V0376,Rowancore,vertical_saas
V0377,Driftspan,vertical_saas
V0378,Ivorypath,vertical_saas
V0379,Pineconestack,vertical_saas
V0380,Juniperfold,vertical_saas
V0381,Onyxpath,vertical_saas
V0382,Loomdeep,vertical_saas
V0383,Loomline,vertical_saas
V0384,Quillfold,vertical_saas
V0385,Lumenfold,vertical_saas
V0386,Vervefold,vertical_saas
V0387,Nettlestack,vertical_saas
V0388,Irisedge,vertical_saas
V0389,Beacongate,vertical_saas
V0390,Onyxgrid,vertical_saas
V0391,Rowangate,vertical_saas
V0392,Fablehub,vertical_saas
V0393,Emberpoint,vertical_saas
V0394,Xylofield,vertical_saas
V0395,Meridianflow,vertical_saas
V0396,Yarrowhub,vertical_saas
V0397,Kitezone,vertical_saas
V0398,Cinderworks,vertical_saas
V0399,Kestrelflow,vertical_saas
V0400,Gladeline,vertical_saas
V0401,Slatezone,vertical_saas
V0402,Gableloop,vertical_saas
V0403,Kelpforge,vertical_saas
V0404,Wrenzone,vertical_saas
V0405,Solacesync,vertical_saas
V0406,Amberforge,vertical_saas
V0407,Sablespan,vertical_saas
V0408,Beaconcore,vertical_saas
V0409,Juniperflow,vertical_saas
V0410,Lumenpath,vertical_saas
V0411,Slatecove,vertical_saas
V0412,Marrowloop,vertical_saas
V0413,Onyxwell,vertical_saas
V0414,Frostpeak,vertical_saas
V0415,Mosscove,vertical_saas
V0416,Northfold,vertical_saas
V0417,Cinderhub,vertical_saas
V0418,Ledgerpath,vertical_saas
V0419,Jasperworks,vertical_saas
V0420,Thistlepath,vertical_saas
V0421,Ridgely,ai_infrastructure
V0422,Fableedge,ai_infrastructure
V0423,Dapplecore,ai_infrastructure
V0424,Timbrebay,ai_infrastructure
V0425,Loomloop,ai_infrastructure
V0426,Zephyrgate,ai_infrastructure
V0427,Anchorcore,ai_infrastructure
V0428,Ivorynode,ai_infrastructure
V0429,Willowfield,ai_infrastructure
V0430,Yarrowstack,ai_infrastructure
V0431,Xylopoint,ai_infrastructure
V0432,Nimbusfold,ai_infrastructure
V0433,Onyxspan,ai_infrastructure
V0434,Corbelrise,ai_infrastructure
V0435,Quartzworks,ai_infrastructure
V0436,Driftloop,ai_infrastructure
V0437,Argonline,ai_infrastructure
V0438,Ridgefield,ai_infrastructure
V0439,Rowanwell,ai_infrastructure
V0440,Gablegate,ai_infrastructure
V0441,Gableworks,ai_infrastructure
V0442,Anchorfold,ai_infrastructure
V0443,Hollowpoint,ai_infrastructure
V0444,Elmtrail,ai_infrastructure
V0445,Umberstack,ai_infrastructure
V0446,Xylozone,ai_infrastructure
V0447,Driftlabs,ai_infrastructure
V0448,Larchfield,ai_infrastructure
V0449,Mossbay,ai_infrastructure
V0450,Heronbase,ai_infrastructure
V0451,Nimbuswave,ai_infrastructure
V0452,Flinttrail,ai_infrastructure
V0453,Kitelabs,ai_infrastructure
V0454,Northstack,ai_infrastructure
V0455,Cinderfield,ai_infrastructure
V0456,Amberline,ai_infrastructure
V0457,Larchfold,ai_infrastructure
V0458,Irisly,ai_infrastructure
V0459,Timbrewell,ai_infrastructure
V0460,Basaltgate,ai_infrastructure
V0461,Frostflow,ai_infrastructure
V0462,Emberbase,ai_infrastructure
V0463,Nimbustrail,ai_infrastructure
V0464,Northmark,ai_infrastructure
V0465,Gladewell,ai_infrastructure
V0466,Anchorrise,ai_infrastructure
V0467,Xyloforge,ai_infrastructure
V0468,Ledgerlabs,ai_infrastructure
V0469,Yarrowpoint,ai_infrastructure
V0470,Nettlemark,ai_infrastructure
V0471,Zephyrly,ai_infrastructure
V0472,Loompoint,ai_infrastructure
V0473,Kelpgate,ai_infrastructure
V0474,Gladely,ai_infrastructure
V0475,Amberworks,ai_infrastructure
V0476,Vervebase,ai_infrastructure
V0477,Irispath,ai_infrastructure
V0478,Amberwell,ai_infrastructure
V0479,Timbrecore,ai_infrastructure
V0480,Heronlabs,ai_infrastructure
