descriptor_string,txn_date,amount,panelist_id
PYMT-MOSSLINE,2023-03-24,988.06,PAN03916
PYMT-MOSSLINE,2023-03-07,1477.23,PAN02405
PYMT-MOSSLINE,2023-01-26,420.84,PAN03063
PYMT-MOSSLINE,2023-02-03,775.75,PAN03168
PYMT-MOSSLINE,2023-03-10,732.76,PAN01244
PYMT-MOSSLINE,2023-03-25,775.78,PAN02465
PYMT-MOSSLINE,2023-01-21,975.46,PAN01448
PYMT-MOSSLINE,2023-01-27,956.10,PAN02394
PYMT-MOSSLINE,2023-03-04,468.00,PAN02201
PYMT-MOSSLINE,2023-02-05,834.25,PAN03168
PYMT-MOSSLINE,2023-03-22,734.36,PAN02394
PYMT-MOSSLINE,2023-03-27,429.03,PAN02593
PYMT-MOSSLINE,2023-04-05,406.41,PAN01584
PYMT-MOSSLINE,2023-04-21,576.77,PAN00774
PYMT-MOSSLINE,2023-05-08,808.20,PAN01308
PYMT-MOSSLINE,2023-06-16,591.58,PAN03702
PYMT-MOSSLINE,2023-04-10,505.36,PAN02105
PYMT-MOSSLINE,2023-04-15,1119.96,PAN02115
PYMT-MOSSLINE,2023-06-03,621.67,PAN03518
PYMT-MOSSLINE,2023-05-27,440.73,PAN02068
PYMT-MOSSLINE,2023-06-11,864.83,PAN00134
PYMT-MOSSLINE,2023-04-14,421.66,PAN02475
PYMT-MOSSLINE,2023-05-31,641.08,PAN02115
PYMT-MOSSLINE,2023-04-27,686.60,PAN03702
PYMT-MOSSLINE,2023-04-28,412.77,PAN00249
PYMT-MOSSLINE,2023-04-08,843.04,PAN00134
PYMT-MOSSLINE,2023-04-19,370.72,PAN02475
PYMT-MOSSLINE,2023-04-29,371.90,PAN00449
PYMT-MOSSLINE,2023-05-13,986.42,PAN03916
PYMT-MOSSLINE,2023-05-16,914.53,PAN01933
PYMT-MOSSLINE,2023-06-09,444.75,PAN01308
PYMT-MOSSLINE,2023-06-09,396.27,PAN00639
PYMT-MOSSLINE,2023-04-05,587.22,PAN03518
PYMT-MOSSLINE,2023-05-08,731.06,PAN02394
PYMT-MOSSLINE,2023-05-30,444.24,PAN03947
PYMT-MOSSLINE,2023-05-14,356.95,PAN03026
PYMT-MOSSLINE,2023-06-30,718.76,PAN03700
PYMT-MOSSLINE,2023-04-20,888.50,PAN03702
PYMT-MOSSLINE,2023-05-26,375.56,PAN02405
PYMT-MOSSLINE,2023-06-28,748.65,PAN03702
PYMT-MOSSLINE,2023-04-29,944.68,PAN02302
PYMT-MOSSLINE,2023-04-18,1025.55,PAN03961
PYMT-MOSSLINE,2023-04-07,343.46,PAN01646
PYMT-MOSSLINE,2023-05-09,503.33,PAN00773
PYMT-MOSSLINE,2023-06-08,825.54,PAN01646
PYMT-MOSSLINE,2023-06-20,178.28,PAN01584
PYMT-MOSSLINE,2023-04-14,437.36,PAN02115
PYMT-MOSSLINE,2023-06-07,1115.39,PAN01933
PYMT-MOSSLINE,2023-06-07,487.78,PAN02068
PYMT-MOSSLINE,2023-06-26,490.06,PAN00249
PYMT-MOSSLINE,2023-04-26,1123.52,PAN02405
PYMT-MOSSLINE,2023-06-10,1074.17,PAN02593
PYMT-MOSSLINE,2023-05-19,443.44,PAN03700
PYMT-MOSSLINE,2023-05-05,323.68,PAN03026
PYMT-MOSSLINE,2023-05-26,531.95,PAN02115
PYMT-MOSSLINE,2023-06-05,684.71,PAN00449
PYMT-MOSSLINE,2023-04-27,476.01,PAN03349
PYMT-MOSSLINE,2023-06-22,405.50,PAN00639
PYMT-MOSSLINE,2023-06-25,508.23,PAN03600
PYMT-MOSSLINE,2023-04-13,1035.15,PAN03961
PYMT-MOSSLINE,2023-04-13,561.11,PAN01370
PYMT-MOSSLINE,2023-04-18,380.03,PAN02593
PYMT-MOSSLINE,2023-04-23,409.54,PAN02201
PYMT-MOSSLINE,2023-06-28,765.98,PAN03168
PYMT-MOSSLINE,2023-06-13,387.32,PAN02465
PYMT-MOSSLINE,2023-06-09,483.31,PAN03600
PYMT-MOSSLINE,2023-06-18,324.63,PAN01187
PYMT-MOSSLINE,2023-06-28,457.07,PAN03344
PYMT-MOSSLINE,2023-04-09,419.72,PAN00134
PYMT-MOSSLINE,2023-05-27,1078.32,PAN03518
PYMT-MOSSLINE,2023-09-15,716.13,PAN03961
PYMT-MOSSLINE,2023-07-10,650.28,PAN00134
PYMT-MOSSLINE,2023-08-06,1390.40,PAN01370
PYMT-MOSSLINE,2023-07-19,389.54,PAN01646
PYMT-MOSSLINE,2023-07-27,407.56,PAN02302
PYMT-MOSSLINE,2023-08-21,1210.65,PAN03317
PYMT-MOSSLINE,2023-08-31,738.93,PAN00062
PYMT-MOSSLINE,2023-07-30,1156.00,PAN02302
PYMT-MOSSLINE,2023-07-17,686.92,PAN00099
PYMT-MOSSLINE,2023-07-15,565.48,PAN02115
PYMT-MOSSLINE,2023-07-15,520.40,PAN00774
PYMT-MOSSLINE,2023-09-22,526.82,PAN03041
PYMT-MOSSLINE,2023-08-16,1420.78,PAN00249
PYMT-MOSSLINE,2023-09-23,486.66,PAN03985
PYMT-MOSSLINE,2023-09-02,284.55,PAN01056
PYMT-MOSSLINE,2023-09-08,472.07,PAN03056
PYMT-MOSSLINE,2023-07-13,557.57,PAN03700
PYMT-MOSSLINE,2023-09-08,1050.28,PAN02068
PYMT-MOSSLINE,2023-07-24,587.89,PAN02465
PYMT-MOSSLINE,2023-09-29,412.13,PAN03041
PYMT-MOSSLINE,2023-07-04,868.21,PAN01448
PYMT-MOSSLINE,2023-09-11,564.30,PAN00645
PYMT-MOSSLINE,2023-08-19,970.27,PAN03702
PYMT-MOSSLINE,2023-08-20,601.44,PAN03194
PYMT-MOSSLINE,2023-09-23,412.08,PAN02105
PYMT-MOSSLINE,2023-09-18,810.41,PAN03056
PYMT-MOSSLINE,2023-08-05,649.14,PAN00062
PYMT-MOSSLINE,2023-07-02,846.94,PAN03040
PYMT-MOSSLINE,2023-09-25,534.73,PAN00773
PYMT-MOSSLINE,2023-07-28,532.83,PAN03961
PYMT-MOSSLINE,2023-07-12,489.52,PAN03947
PYMT-MOSSLINE,2023-07-31,1228.78,PAN02465
PYMT-MOSSLINE,2023-09-14,593.92,PAN03518
PYMT-MOSSLINE,2023-07-13,575.97,PAN02593
PYMT-MOSSLINE,2023-09-08,472.80,PAN02357
PYMT-MOSSLINE,2023-09-29,713.05,PAN00773
PYMT-MOSSLINE,2023-09-02,1375.19,PAN01674
PYMT-MOSSLINE,2023-07-30,908.67,PAN03041
PYMT-MOSSLINE,2023-07-28,561.49,PAN02475
PYMT-MOSSLINE,2023-09-02,328.76,PAN01691
PYMT-MOSSLINE,2023-09-09,1580.37,PAN01308
PYMT-MOSSLINE,2023-09-09,487.42,PAN01244
PYMT-MOSSLINE,2023-08-23,593.45,PAN02593
PYMT-MOSSLINE,2023-08-22,470.32,PAN01937
PYMT-MOSSLINE,2023-09-25,664.66,PAN00036
PYMT-MOSSLINE,2023-08-28,708.58,PAN03317
PYMT-MOSSLINE,2023-09-07,1161.90,PAN03026
PYMT-MOSSLINE,2023-08-29,442.23,PAN02465
PYMT-MOSSLINE,2023-08-19,480.62,PAN01448
PYMT-MOSSLINE,2023-09-24,893.81,PAN03702
PYMT-MOSSLINE,2023-08-09,405.60,PAN02465
PYMT-MOSSLINE,2023-07-05,776.03,PAN01674
PYMT-MOSSLINE,2023-08-10,598.75,PAN03985
PYMT-MOSSLINE,2023-07-16,337.03,PAN03063
PYMT-MOSSLINE,2023-08-10,526.01,PAN00724
PYMT-MOSSLINE,2023-09-16,1047.47,PAN01933
PYMT-MOSSLINE,2023-08-21,350.50,PAN00036
PYMT-MOSSLINE,2023-09-23,843.88,PAN00639
PYMT-MOSSLINE,2023-08-10,539.97,PAN01244
PYMT-MOSSLINE,2023-07-20,625.54,PAN00085
PYMT-MOSSLINE,2023-08-01,878.07,PAN02969
PYMT-MOSSLINE,2023-07-26,936.68,PAN03702
PYMT-MOSSLINE,2023-08-08,483.82,PAN03620
PYMT-MOSSLINE,2023-09-10,484.26,PAN00085
PYMT-MOSSLINE,2023-09-21,1191.63,PAN03702
PYMT-MOSSLINE,2023-09-27,593.97,PAN02405
PYMT-MOSSLINE,2023-09-22,704.09,PAN00466
PYMT-MOSSLINE,2023-10-28,503.68,PAN00006
PYMT-MOSSLINE,2023-11-22,466.13,PAN01244
PYMT-MOSSLINE,2023-10-03,360.69,PAN03961
PYMT-MOSSLINE,2023-11-18,544.50,PAN03056
PYMT-MOSSLINE,2023-12-25,971.76,PAN03947
PYMT-MOSSLINE,2023-12-21,581.37,PAN02302
PYMT-MOSSLINE,2023-10-16,591.54,PAN01659
PYMT-MOSSLINE,2023-10-26,270.09,PAN02201
PYMT-MOSSLINE,2023-10-28,1034.36,PAN03040
PYMT-MOSSLINE,2023-11-05,382.43,PAN02105
PYMT-MOSSLINE,2023-10-14,460.99,PAN01448
PYMT-MOSSLINE,2023-12-22,791.93,PAN01370
PYMT-MOSSLINE,2023-12-29,581.03,PAN00134
PYMT-MOSSLINE,2023-10-16,719.05,PAN01674
PYMT-MOSSLINE,2023-11-26,487.69,PAN01659
PYMT-MOSSLINE,2023-12-01,440.21,PAN02405
PYMT-MOSSLINE,2023-10-16,460.03,PAN01933
PYMT-MOSSLINE,2023-12-06,547.90,PAN00036
PYMT-MOSSLINE,2023-10-09,529.70,PAN03947
PYMT-MOSSLINE,2023-11-10,583.39,PAN03168
PYMT-MOSSLINE,2023-12-06,660.19,PAN02302
PYMT-MOSSLINE,2023-11-05,472.29,PAN03066
PYMT-MOSSLINE,2023-11-04,479.47,PAN02405
PYMT-MOSSLINE,2023-11-04,620.55,PAN01329
PYMT-MOSSLINE,2023-12-11,847.96,PAN02115
PYMT-MOSSLINE,2023-12-25,536.24,PAN01370
PYMT-MOSSLINE,2023-10-28,224.46,PAN00134
PYMT-MOSSLINE,2023-11-11,519.36,PAN03620
PYMT-MOSSLINE,2023-12-13,699.34,PAN03987
PYMT-MOSSLINE,2023-11-05,435.61,PAN00062
PYMT-MOSSLINE,2023-12-06,741.55,PAN02405
PYMT-MOSSLINE,2023-10-26,544.53,PAN02201
PYMT-MOSSLINE,2023-12-07,367.13,PAN01370
PYMT-MOSSLINE,2023-12-14,934.22,PAN03168
PYMT-MOSSLINE,2023-12-17,558.44,PAN01056
PYMT-MOSSLINE,2023-10-02,550.46,PAN01646
PYMT-MOSSLINE,2023-10-28,510.71,PAN01244
PYMT-MOSSLINE,2023-12-30,992.51,PAN00134
PYMT-MOSSLINE,2023-11-17,406.74,PAN03349
PYMT-MOSSLINE,2023-11-09,771.66,PAN03961
PYMT-MOSSLINE,2023-11-06,361.04,PAN02475
PYMT-MOSSLINE,2023-10-20,405.54,PAN01646
PYMT-MOSSLINE,2023-11-01,748.43,PAN02105
PYMT-MOSSLINE,2023-11-22,242.53,PAN01691
PYMT-MOSSLINE,2023-10-02,600.85,PAN03168
PYMT-MOSSLINE,2023-10-30,417.76,PAN02115
PYMT-MOSSLINE,2023-10-10,679.43,PAN03700
PYMT-MOSSLINE,2023-11-18,1391.70,PAN00466
PYMT-MOSSLINE,2023-10-19,386.13,PAN01937
PYMT-MOSSLINE,2023-11-02,854.03,PAN01691
PYMT-MOSSLINE,2023-10-28,498.00,PAN03627
PYMT-MOSSLINE,2023-12-03,396.76,PAN02105
PYMT-MOSSLINE,2023-12-20,345.61,PAN01329
PYMT-MOSSLINE,2023-12-26,506.34,PAN00036
PYMT-MOSSLINE,2023-10-21,1228.94,PAN01674
PYMT-MOSSLINE,2023-12-26,491.45,PAN00249
PYMT-MOSSLINE,2023-10-02,416.15,PAN00085
PYMT-MOSSLINE,2023-11-12,457.89,PAN00006
PYMT-MOSSLINE,2023-12-06,490.77,PAN01347
PYMT-MOSSLINE,2023-12-25,517.90,PAN03040
PYMT-MOSSLINE,2023-11-13,648.78,PAN02593
PYMT-MOSSLINE,2023-12-28,452.29,PAN00085
PYMT-MOSSLINE,2023-12-08,362.48,PAN01674
PYMT-MOSSLINE,2023-12-21,548.84,PAN02465
PYMT-MOSSLINE,2023-11-08,328.08,PAN00036
PYMT-MOSSLINE,2023-10-23,500.00,PAN03349
PYMT-MOSSLINE,2024-03-26,404.43,PAN00466
PYMT-MOSSLINE,2024-02-17,578.41,PAN02115
PYMT-MOSSLINE,2024-01-30,359.22,PAN00773
PYMT-MOSSLINE,2024-02-12,407.52,PAN00645
PYMT-MOSSLINE,2024-03-06,537.75,PAN03929
PYMT-MOSSLINE,2024-01-12,1357.51,PAN03916
PYMT-MOSSLINE,2024-02-16,1055.09,PAN00466
PYMT-MOSSLINE,2024-02-08,456.41,PAN00724
PYMT-MOSSLINE,2024-02-05,655.59,PAN03026
PYMT-MOSSLINE,2024-02-14,472.50,PAN03063
PYMT-MOSSLINE,2024-01-14,718.75,PAN00249
PYMT-MOSSLINE,2024-02-15,826.88,PAN03040
PYMT-MOSSLINE,2024-02-04,600.59,PAN03987
PYMT-MOSSLINE,2024-01-16,556.40,PAN02405
PYMT-MOSSLINE,2024-02-24,568.92,PAN00062
PYMT-MOSSLINE,2024-03-20,646.82,PAN00645
PYMT-MOSSLINE,2024-01-14,446.35,PAN02394
PYMT-MOSSLINE,2024-01-01,597.59,PAN01937
PYMT-MOSSLINE,2024-03-22,808.52,PAN00774
PYMT-MOSSLINE,2024-02-28,811.62,PAN01674
PYMT-MOSSLINE,2024-02-12,395.81,PAN01329
PYMT-MOSSLINE,2024-03-25,218.26,PAN00466
PYMT-MOSSLINE,2024-02-08,329.19,PAN02357
PYMT-MOSSLINE,2024-01-27,554.42,PAN00062
PYMT-MOSSLINE,2024-03-24,596.48,PAN03961
PYMT-MOSSLINE,2024-02-10,516.69,PAN00979
PYMT-MOSSLINE,2024-02-08,432.35,PAN03600
PYMT-MOSSLINE,2024-02-18,854.34,PAN03518
PYMT-MOSSLINE,2024-03-25,604.22,PAN03317
PYMT-MOSSLINE,2024-02-02,454.46,PAN00466
PYMT-MOSSLINE,2024-01-04,646.84,PAN01347
PYMT-MOSSLINE,2024-02-24,1158.68,PAN03026
PYMT-MOSSLINE,2024-02-20,678.62,PAN00645
PYMT-MOSSLINE,2024-02-20,930.26,PAN03041
PYMT-MOSSLINE,2024-02-06,363.75,PAN01584
PYMT-MOSSLINE,2024-02-02,582.46,PAN02302
PYMT-MOSSLINE,2024-03-08,238.30,PAN01308
PYMT-MOSSLINE,2024-02-09,697.59,PAN00535
PYMT-MOSSLINE,2024-03-04,338.74,PAN03627
PYMT-MOSSLINE,2024-02-02,425.11,PAN01937
PYMT-MOSSLINE,2024-01-17,390.98,PAN01849
PYMT-MOSSLINE,2024-01-29,736.14,PAN03985
PYMT-MOSSLINE,2024-03-24,378.09,PAN03947
PYMT-MOSSLINE,2024-03-31,342.07,PAN03985
PYMT-MOSSLINE,2024-01-19,498.46,PAN02969
PYMT-MOSSLINE,2024-01-09,664.43,PAN03929
PYMT-MOSSLINE,2024-01-27,804.67,PAN03702
PYMT-MOSSLINE,2024-03-26,997.02,PAN01308
PYMT-MOSSLINE,2024-02-01,836.12,PAN03700
PYMT-MOSSLINE,2024-03-10,673.22,PAN01691
PYMT-MOSSLINE,2024-03-14,358.91,PAN03518
PYMT-MOSSLINE,2024-03-19,667.83,PAN03627
PYMT-MOSSLINE,2024-03-02,374.91,PAN02357
PYMT-MOSSLINE,2024-03-18,645.64,PAN01933
PYMT-MOSSLINE,2024-02-29,517.90,PAN00645
PYMT-MOSSLINE,2024-02-27,996.81,PAN02201
PYMT-MOSSLINE,2024-03-11,799.11,PAN03349
PYMT-MOSSLINE,2024-03-18,334.86,PAN01187
PYMT-MOSSLINE,2024-03-01,1103.77,PAN03063
PYMT-MOSSLINE,2024-01-07,908.86,PAN00645
PYMT-MOSSLINE,2024-03-03,971.57,PAN03063
PYMT-MOSSLINE,2024-01-07,314.00,PAN03627
PYMT-MOSSLINE,2024-03-05,1263.01,PAN01659
PYMT-MOSSLINE,2024-01-15,305.41,PAN03987
PYMT-MOSSLINE,2024-01-29,752.35,PAN01347
PYMT-MOSSLINE,2024-03-18,422.13,PAN02068
PYMT-MOSSLINE,2024-03-08,424.58,PAN03063
PYMT-MOSSLINE,2024-05-06,392.71,PAN02105
PYMT-MOSSLINE,2024-05-23,755.69,PAN01849
PYMT-MOSSLINE,2024-06-19,264.50,PAN03947
PYMT-MOSSLINE,2024-04-01,765.48,PAN00449
PYMT-MOSSLINE,2024-05-16,1146.97,PAN03063
PYMT-MOSSLINE,2024-06-13,531.07,PAN02593
PYMT-MOSSLINE,2024-05-27,484.19,PAN03040
PYMT-MOSSLINE,2024-06-17,459.22,PAN00134
PYMT-MOSSLINE,2024-04-02,552.12,PAN01674
PYMT-MOSSLINE,2024-05-29,273.13,PAN03702
PYMT-MOSSLINE,2024-04-11,925.57,PAN02201
PYMT-MOSSLINE,2024-04-19,994.67,PAN00449
PYMT-MOSSLINE,2024-04-10,1137.12,PAN03961
PYMT-MOSSLINE,2024-05-13,473.60,PAN00085
PYMT-MOSSLINE,2024-04-18,474.75,PAN02357
PYMT-MOSSLINE,2024-05-24,639.30,PAN03063
PYMT-MOSSLINE,2024-05-25,403.89,PAN01933
PYMT-MOSSLINE,2024-06-10,703.51,PAN01674
PYMT-MOSSLINE,2024-05-26,1190.14,PAN02405
PYMT-MOSSLINE,2024-05-08,237.34,PAN01308
PYMT-MOSSLINE,2024-04-19,499.96,PAN02405
PYMT-MOSSLINE,2024-06-08,668.84,PAN01691
PYMT-MOSSLINE,2024-05-30,452.18,PAN01659
PYMT-MOSSLINE,2024-04-26,786.72,PAN03702
PYMT-MOSSLINE,2024-06-23,779.70,PAN00535
PYMT-MOSSLINE,2024-05-23,568.09,PAN01448
PYMT-MOSSLINE,2024-05-14,618.48,PAN03056
PYMT-MOSSLINE,2024-04-01,607.67,PAN00639
PYMT-MOSSLINE,2024-04-17,411.12,PAN00449
PYMT-MOSSLINE,2024-04-16,1010.92,PAN00979
PYMT-MOSSLINE,2024-06-19,535.64,PAN00645
PYMT-MOSSLINE,2024-05-12,815.87,PAN00466
PYMT-MOSSLINE,2024-05-24,415.22,PAN01646
PYMT-MOSSLINE,2024-05-14,950.49,PAN00466
PYMT-MOSSLINE,2024-04-08,609.22,PAN02302
PYMT-MOSSLINE,2024-06-05,737.87,PAN00979
PYMT-MOSSLINE,2024-06-17,645.12,PAN00535
PYMT-MOSSLINE,2024-06-27,949.31,PAN03041
PYMT-MOSSLINE,2024-04-02,440.26,PAN03929
PYMT-MOSSLINE,2024-04-24,690.27,PAN01646
PYMT-MOSSLINE,2024-06-23,305.76,PAN01187
PYMT-MOSSLINE,2024-05-26,525.51,PAN03929
PYMT-MOSSLINE,2024-05-27,600.85,PAN01584
PYMT-MOSSLINE,2024-05-16,1088.65,PAN00535
PYMT-MOSSLINE,2024-04-11,591.34,PAN01244
PYMT-MOSSLINE,2024-04-01,757.75,PAN02357
PYMT-MOSSLINE,2024-05-26,454.66,PAN00006
PYMT-MOSSLINE,2024-06-03,496.98,PAN01448
PYMT-MOSSLINE,2024-05-25,353.55,PAN03518
PYMT-MOSSLINE,2024-06-17,483.46,PAN03702
PYMT-MOSSLINE,2024-06-27,447.56,PAN03168
PYMT-MOSSLINE,2024-04-18,419.70,PAN03056
PYMT-MOSSLINE,2024-06-06,349.87,PAN02465
PYMT-MOSSLINE,2024-06-09,509.53,PAN02969
PYMT-MOSSLINE,2024-05-10,354.89,PAN02068
PYMT-MOSSLINE,2024-04-14,645.14,PAN00249
PYMT-MOSSLINE,2024-06-08,531.80,PAN00218
PYMT-MOSSLINE,2024-04-14,421.99,PAN01659
PYMT-MOSSLINE,2024-04-03,429.11,PAN03627
PYMT-MOSSLINE,2024-04-09,461.83,PAN03063
PYMT-MOSSLINE,2024-06-14,242.71,PAN03702
PYMT-MOSSLINE,2024-04-29,577.55,PAN03041
PYMT-MOSSLINE,2024-04-17,575.49,PAN03947
PYMT-MOSSLINE,2024-04-08,283.58,PAN00085
PYMT-MOSSLINE,2024-06-15,455.62,PAN03349
PYMT-MOSSLINE,2024-06-15,558.41,PAN02357
PYMT-MOSSLINE,2024-04-18,597.85,PAN02105
PYMT-MOSSLINE,2024-05-19,1185.30,PAN01937
PYMT-MOSSLINE,2024-06-28,605.89,PAN02068
PYMT-MOSSLINE,2024-06-29,383.17,PAN01674
PYMT-MOSSLINE,2024-05-09,494.12,PAN02475
PYMT-MOSSLINE,2024-06-03,532.21,PAN01933
PYMT-MOSSLINE,2024-06-27,644.66,PAN00773
PYMT-MOSSLINE,2024-04-19,654.46,PAN00134
PYMT-MOSSLINE,2024-07-28,890.72,PAN00036
PYMT-MOSSLINE,2024-09-03,558.19,PAN03620
PYMT-MOSSLINE,2024-09-14,488.11,PAN03518
PYMT-MOSSLINE,2024-07-21,602.88,PAN03040
PYMT-MOSSLINE,2024-07-18,999.02,PAN03349
PYMT-MOSSLINE,2024-08-25,612.33,PAN01448
PYMT-MOSSLINE,2024-09-19,957.46,PAN00062
PYMT-MOSSLINE,2024-08-28,1278.69,PAN01244
PYMT-MOSSLINE,2024-09-17,598.67,PAN00449
PYMT-MOSSLINE,2024-08-23,305.90,PAN03194
PYMT-MOSSLINE,2024-07-04,375.23,PAN03518
PYMT-MOSSLINE,2024-08-13,526.33,PAN02465
PYMT-MOSSLINE,2024-08-11,390.54,PAN00134
PYMT-MOSSLINE,2024-07-29,263.63,PAN01659
PYMT-MOSSLINE,2024-07-28,1284.38,PAN02201
PYMT-MOSSLINE,2024-07-17,404.68,PAN01937
PYMT-MOSSLINE,2024-07-19,589.78,PAN00724
PYMT-MOSSLINE,2024-09-01,1002.26,PAN00466
PYMT-MOSSLINE,2024-08-16,514.56,PAN02302
PYMT-MOSSLINE,2024-08-19,759.88,PAN00085
PYMT-MOSSLINE,2024-09-29,637.13,PAN03349
PYMT-MOSSLINE,2024-09-05,405.06,PAN03317
PYMT-MOSSLINE,2024-09-19,539.29,PAN03985
PYMT-MOSSLINE,2024-07-11,625.75,PAN02357
PYMT-MOSSLINE,2024-09-16,985.20,PAN00774
PYMT-MOSSLINE,2024-09-12,351.06,PAN03985
PYMT-MOSSLINE,2024-09-15,327.56,PAN01056
PYMT-MOSSLINE,2024-08-06,361.99,PAN03040
PYMT-MOSSLINE,2024-09-19,350.70,PAN03985
PYMT-MOSSLINE,2024-07-16,606.35,PAN01933
PYMT-MOSSLINE,2024-08-19,422.90,PAN02105
PYMT-MOSSLINE,2024-07-09,711.74,PAN03056
PYMT-MOSSLINE,2024-08-20,736.17,PAN02475
PYMT-MOSSLINE,2024-08-10,1149.42,PAN03987
PYMT-MOSSLINE,2024-09-24,858.62,PAN00218
PYMT-MOSSLINE,2024-08-07,724.55,PAN01584
PYMT-MOSSLINE,2024-07-06,841.96,PAN02115
PYMT-MOSSLINE,2024-08-27,1023.46,PAN00036
PYMT-MOSSLINE,2024-07-18,1139.90,PAN01056
PYMT-MOSSLINE,2024-09-29,587.41,PAN00099
PYMT-MOSSLINE,2024-09-29,632.51,PAN00099
PYMT-MOSSLINE,2024-08-01,626.59,PAN00134
PYMT-MOSSLINE,2024-08-25,522.79,PAN03344
PYMT-MOSSLINE,2024-08-06,739.17,PAN00535
PYMT-MOSSLINE,2024-09-10,513.07,PAN00099
PYMT-MOSSLINE,2024-07-22,826.01,PAN02475
PYMT-MOSSLINE,2024-08-29,709.22,PAN01187
PYMT-MOSSLINE,2024-07-20,385.70,PAN01584
PYMT-MOSSLINE,2024-08-22,711.15,PAN01329
PYMT-MOSSLINE,2024-09-22,495.05,PAN00774
PYMT-MOSSLINE,2024-08-27,379.66,PAN03985
PYMT-MOSSLINE,2024-09-24,634.67,PAN03985
PYMT-MOSSLINE,2024-07-01,392.60,PAN01849
PYMT-MOSSLINE,2024-09-06,966.27,PAN02593
PYMT-MOSSLINE,2024-09-01,730.16,PAN03620
PYMT-MOSSLINE,2024-08-28,788.74,PAN01244
PYMT-MOSSLINE,2024-09-10,996.81,PAN03194
PYMT-MOSSLINE,2024-07-09,826.96,PAN02969
PYMT-MOSSLINE,2024-07-08,557.52,PAN03026
PYMT-MOSSLINE,2024-09-17,310.68,PAN03349
PYMT-MOSSLINE,2024-08-17,209.76,PAN02201
PYMT-MOSSLINE,2024-07-31,865.49,PAN03168
PYMT-MOSSLINE,2024-09-25,952.87,PAN01347
PYMT-MOSSLINE,2024-09-07,356.29,PAN03066
PYMT-MOSSLINE,2024-08-15,712.86,PAN02969
PYMT-MOSSLINE,2024-07-03,811.15,PAN03518
PYMT-MOSSLINE,2024-09-11,576.91,PAN01646
PYMT-MOSSLINE,2024-08-03,376.47,PAN01329
PYMT-MOSSLINE,2024-09-29,593.41,PAN00134
PYMT-MOSSLINE,2024-11-17,406.75,PAN02068
PYMT-MOSSLINE,2024-10-06,746.55,PAN00466
PYMT-MOSSLINE,2024-10-06,554.56,PAN03947
PYMT-MOSSLINE,2024-12-17,611.83,PAN03349
PYMT-MOSSLINE,2024-10-06,477.20,PAN03600
PYMT-MOSSLINE,2024-11-09,850.42,PAN03317
