vendor_id,quarter,segment,arr_estimate_m,level_band,level_method
V0005,2024Q3,devtools,0.582912,<1M,web
V0005,2024Q4,devtools,0.687744,<1M,web
V0005,2025Q1,devtools,1.137408,1-3M,web
V0005,2025Q2,devtools,1.076608,1-3M,web
V0005,2025Q3,devtools,1.16608,1-3M,web
V0005,2025Q4,devtools,1.363072,1-3M,web
V0006,2023Q1,devtools,0.867094,<1M,spend
V0006,2023Q2,devtools,0.661074,<1M,spend
V0006,2023Q3,devtools,0.576684,<1M,spend
V0006,2023Q4,devtools,0.680502,<1M,spend
V0006,2024Q1,devtools,0.759396,<1M,spend
V0006,2024Q2,devtools,0.6064019999999999,<1M,spend
V0006,2024Q3,devtools,0.556866,<1M,spend
V0006,2024Q4,devtools,0.8638540000000001,<1M,spend
V0006,2025Q1,devtools,0.593428,<1M,spend
V0006,2025Q2,devtools,0.62477,<1M,spend
V0006,2025Q3,devtools,0.600676,<1M,spend
V0006,2025Q4,devtools,0.812708,<1M,spend
V0007,2023Q1,devtools,0.472832,<1M,web
V0007,2023Q2,devtools,0.454784,<1M,web
V0007,2023Q3,devtools,0.437504,<1M,web
V0007,2023Q4,devtools,0.506368,<1M,web
V0007,2024Q1,devtools,0.567296,<1M,web
V0007,2024Q2,devtools,0.640512,<1M,web
V0007,2024Q3,devtools,0.5728,<1M,web
V0007,2024Q4,devtools,0.60608,<1M,web
V0007,2025Q1,devtools,0.686336,<1M,web
V0007,2025Q2,devtools,0.779776,<1M,web
V0007,2025Q3,devtools,0.662912,<1M,web
V0007,2025Q4,devtools,0.894976,<1M,web
V0008,2023Q1,devtools,9.288648,3-10M,spend
V0008,2023Q2,devtools,10.428844,10-30M,spend
V0008,2023Q3,devtools,9.940468,3-10M,spend
V0008,2023Q4,devtools,8.208825999999998,3-10M,spend
V0008,2024Q1,devtools,11.386956,10-30M,spend
V0008,2024Q2,devtools,13.113778,10-30M,spend
V0008,2024Q3,devtools,14.25984,10-30M,spend
V0008,2024Q4,devtools,14.279167999999999,10-30M,spend
V0008,2025Q1,devtools,16.616001999999998,10-30M,spend
V0008,2025Q2,devtools,15.006078,10-30M,spend
V0008,2025Q3,devtools,19.050236,10-30M,spend
V0008,2025Q4,devtools,16.20241,10-30M,spend
V0009,2023Q1,devtools,4.16993,3-10M,spend
V0009,2023Q2,devtools,3.9630059999999996,3-10M,spend
V0009,2023Q3,devtools,4.21643,3-10M,spend
V0009,2023Q4,devtools,4.413758,3-10M,spend
V0009,2024Q1,devtools,4.327898,3-10M,spend
V0009,2024Q2,devtools,5.176884,3-10M,spend
V0009,2024Q3,devtools,4.914784,3-10M,spend
V0009,2024Q4,devtools,5.147788,3-10M,spend
V0009,2025Q1,devtools,4.910374,3-10M,spend
V0009,2025Q2,devtools,5.473934,3-10M,spend
V0009,2025Q3,devtools,6.620806,3-10M,spend
V0009,2025Q4,devtools,7.514894,3-10M,spend
V0010,2023Q1,devtools,0.583168,<1M,web
V0010,2023Q2,devtools,0.744832,<1M,web
V0010,2023Q3,devtools,0.472192,<1M,web
V0010,2023Q4,devtools,0.488576,<1M,web
V0010,2024Q1,devtools,0.624256,<1M,web
V0010,2024Q2,devtools,0.69888,<1M,web
V0010,2024Q3,devtools,,no_data,none
V0010,2024Q4,devtools,,no_data,none
V0010,2025Q1,devtools,,no_data,none
V0010,2025Q2,devtools,,no_data,none
V0010,2025Q3,devtools,,no_data,none
V0010,2025Q4,devtools,,no_data,none
V0011,2023Q1,devtools,4.553822,3-10M,spend
V0011,2023Q2,devtools,5.723818,3-10M,spend
V0011,2023Q3,devtools,5.626532,3-10M,spend
V0011,2023Q4,devtools,6.9792179999999995,3-10M,spend
V0011,2024Q1,devtools,7.576074,3-10M,spend
V0011,2024Q2,devtools,10.30115,10-30M,spend
V0011,2024Q3,devtools,8.70544,3-10M,spend
V0011,2024Q4,devtools,12.663016,10-30M,spend
V0011,2025Q1,devtools,11.620842,10-30M,spend
V0011,2025Q2,devtools,12.612782,10-30M,spend
V0011,2025Q3,devtools,15.316617999999998,10-30M,spend
V0011,2025Q4,devtools,14.121507999999999,10-30M,spend
V0012,2023Q1,devtools,0.918016,<1M,web
V0012,2023Q2,devtools,1.090944,1-3M,web
V0012,2023Q3,devtools,1.274624,1-3M,web
V0012,2023Q4,devtools,1.446784,1-3M,web
V0012,2024Q1,devtools,1.816064,1-3M,web
V0012,2024Q2,devtools,1.848064,1-3M,web
V0012,2024Q3,devtools,1.911296,1-3M,web
V0012,2024Q4,devtools,1.814016,1-3M,web
V0012,2025Q1,devtools,2.521216,1-3M,web
V0012,2025Q2,devtools,2.38336,1-3M,web
V0012,2025Q3,devtools,2.720384,1-3M,web
V0012,2025Q4,devtools,1.804416,1-3M,web
V0013,2023Q1,devtools,5.831854,3-10M,spend
V0013,2023Q2,devtools,5.413026,3-10M,spend
V0013,2023Q3,devtools,6.85968,3-10M,spend
V0013,2023Q4,devtools,6.648616,3-10M,spend
V0013,2024Q1,devtools,7.500711999999999,3-10M,spend
V0013,2024Q2,devtools,7.263582000000001,3-10M,spend
V0013,2024Q3,devtools,8.527466,3-10M,spend
V0013,2024Q4,devtools,8.881638,3-10M,spend
V0013,2025Q1,devtools,9.012858,3-10M,spend
V0013,2025Q2,devtools,6.87511,3-10M,spend
V0013,2025Q3,devtools,9.0513,3-10M,spend
V0013,2025Q4,devtools,11.408734,10-30M,spend
V0014,2023Q1,devtools,1.633314,1-3M,spend
V0014,2023Q2,devtools,2.711116,1-3M,spend
V0014,2023Q3,devtools,2.449434,1-3M,spend
V0014,2023Q4,devtools,2.906916,1-3M,spend
V0014,2024Q1,devtools,2.49475,1-3M,spend
V0014,2024Q2,devtools,3.182012,3-10M,spend
V0014,2024Q3,devtools,4.335726,3-10M,spend
V0014,2024Q4,devtools,5.14988,3-10M,spend
V0014,2025Q1,devtools,4.856676,3-10M,spend
V0014,2025Q2,devtools,4.510632,3-10M,spend
V0014,2025Q3,devtools,4.69725,3-10M,spend
V0014,2025Q4,devtools,5.92974,3-10M,spend
V0015,2023Q1,devtools,9.497994,3-10M,spend
V0015,2023Q2,devtools,10.871162,10-30M,spend
V0015,2023Q3,devtools,13.394364000000001,10-30M,spend
V0015,2023Q4,devtools,12.400162,10-30M,spend
V0015,2024Q1,devtools,14.660156,10-30M,spend
V0015,2024Q2,devtools,18.752296,10-30M,spend
V0015,2024Q3,devtools,19.70989,10-30M,spend
V0015,2024Q4,devtools,17.940474,10-30M,spend
V0015,2025Q1,devtools,18.30445,10-30M,spend
V0015,2025Q2,devtools,21.345862,10-30M,spend
V0015,2025Q3,devtools,27.203162,10-30M,spend
V0015,2025Q4,devtools,27.700794,10-30M,spend
V0016,2023Q1,devtools,6.458362,3-10M,spend
V0016,2023Q2,devtools,7.351986,3-10M,spend
V0016,2023Q3,devtools,0.0,<1M,jobs
V0016,2023Q4,devtools,0.0,<1M,jobs
V0016,2024Q1,devtools,0.0,<1M,jobs
V0016,2024Q2,devtools,0.0,<1M,jobs
V0016,2024Q3,devtools,0.0,<1M,jobs
V0016,2024Q4,devtools,0.0,<1M,jobs
V0016,2025Q1,devtools,0.0,<1M,jobs
V0016,2025Q2,devtools,0.0,<1M,jobs
V0016,2025Q3,devtools,0.0,<1M,jobs
V0016,2025Q4,devtools,0.0,<1M,jobs
V0017,2023Q1,devtools,0.488192,<1M,web
V0017,2023Q2,devtools,0.501888,<1M,web
V0017,2023Q3,devtools,0.513152,<1M,web
V0017,2023Q4,devtools,0.48192,<1M,web
V0017,2024Q1,devtools,0.717184,<1M,web
V0017,2024Q2,devtools,0.6624,<1M,web
V0017,2024Q3,devtools,0.679808,<1M,web
V0017,2024Q4,devtools,0.7008,<1M,web
V0017,2025Q1,devtools,0.903168,<1M,web
V0017,2025Q2,devtools,0.986496,<1M,web
V0017,2025Q3,devtools,0.919808,<1M,web
V0017,2025Q4,devtools,0.915328,<1M,web
V0018,2023Q1,devtools,2.64,1-3M,jobs
V0018,2023Q2,devtools,2.64,1-3M,jobs
V0018,2023Q3,devtools,2.64,1-3M,jobs
V0018,2023Q4,devtools,2.64,1-3M,jobs
V0018,2024Q1,devtools,2.64,1-3M,jobs
V0018,2024Q2,devtools,2.64,1-3M,jobs
V0018,2024Q3,devtools,2.64,1-3M,jobs
V0018,2024Q4,devtools,7.92,3-10M,jobs
V0018,2025Q1,devtools,10.56,10-30M,jobs
V0018,2025Q2,devtools,10.56,10-30M,jobs
V0018,2025Q3,devtools,13.2,10-30M,jobs
V0018,2025Q4,devtools,15.84,10-30M,jobs
V0019,2023Q1,devtools,2.73348,1-3M,spend
V0019,2023Q2,devtools,2.486758,1-3M,spend
V0019,2023Q3,devtools,2.580636,1-3M,spend
V0019,2023Q4,devtools,2.96166,1-3M,spend
V0019,2024Q1,devtools,3.7245520000000005,3-10M,spend
V0019,2024Q2,devtools,4.57755,3-10M,spend
V0019,2024Q3,devtools,3.661496,3-10M,spend
V0019,2024Q4,devtools,5.026132,3-10M,spend
V0019,2025Q1,devtools,5.573722,3-10M,spend
V0019,2025Q2,devtools,4.155536,3-10M,spend
V0019,2025Q3,devtools,6.823711999999999,3-10M,spend
V0019,2025Q4,devtools,6.096092,3-10M,spend
V0020,2023Q1,devtools,23.76,10-30M,jobs
V0020,2023Q2,devtools,31.68,30-100M,jobs
V0020,2023Q3,devtools,31.68,30-100M,jobs
V0020,2023Q4,devtools,34.32,30-100M,jobs
V0020,2024Q1,devtools,31.68,30-100M,jobs
V0020,2024Q2,devtools,34.32,30-100M,jobs
V0020,2024Q3,devtools,42.24,30-100M,jobs
V0020,2024Q4,devtools,42.24,30-100M,jobs
V0020,2025Q1,devtools,39.6,30-100M,jobs
V0020,2025Q2,devtools,87.12,30-100M,jobs
V0020,2025Q3,devtools,102.96,>100M,jobs
V0020,2025Q4,devtools,113.52,>100M,jobs
V0021,2023Q1,devtools,18.48,10-30M,jobs
V0021,2023Q2,devtools,21.12,10-30M,jobs
V0021,2023Q3,devtools,18.48,10-30M,jobs
V0021,2023Q4,devtools,26.4,10-30M,jobs
V0021,2024Q1,devtools,26.4,10-30M,jobs
V0021,2024Q2,devtools,26.4,10-30M,jobs
V0021,2024Q3,devtools,26.4,10-30M,jobs
V0021,2024Q4,devtools,26.4,10-30M,jobs
V0021,2025Q1,devtools,31.68,30-100M,jobs
V0021,2025Q2,devtools,31.68,30-100M,jobs
V0021,2025Q3,devtools,36.96,30-100M,jobs
V0021,2025Q4,devtools,42.24,30-100M,jobs
V0022,2023Q1,devtools,2.942872,1-3M,spend
V0022,2023Q2,devtools,3.016706,3-10M,spend
V0022,2023Q3,devtools,4.330018,3-10M,spend
V0022,2023Q4,devtools,4.810484,3-10M,spend
V0022,2024Q1,devtools,4.767474,3-10M,spend
V0022,2024Q2,devtools,5.948197999999999,3-10M,spend
V0022,2024Q3,devtools,5.27285,3-10M,spend
V0022,2024Q4,devtools,7.217361999999999,3-10M,spend
V0022,2025Q1,devtools,5.29891,3-10M,spend
V0022,2025Q2,devtools,7.262408,3-10M,spend
V0022,2025Q3,devtools,7.519161999999999,3-10M,spend
V0022,2025Q4,devtools,8.088066,3-10M,spend
V0023,2023Q1,devtools,2.972498,1-3M,spend
V0023,2023Q2,devtools,3.068498,3-10M,spend
V0023,2023Q3,devtools,3.3880160000000004,3-10M,spend
V0023,2023Q4,devtools,3.875908,3-10M,spend
V0023,2024Q1,devtools,3.2863059999999997,3-10M,spend
V0023,2024Q2,devtools,4.168128,3-10M,spend
V0023,2024Q3,devtools,4.775188,3-10M,spend
V0023,2024Q4,devtools,4.317884,3-10M,spend
V0023,2025Q1,devtools,5.063636,3-10M,spend
V0023,2025Q2,devtools,5.11545,3-10M,spend
V0023,2025Q3,devtools,4.85904,3-10M,spend
V0023,2025Q4,devtools,5.214622,3-10M,spend
V0024,2023Q1,devtools,2.742254,1-3M,spend
V0024,2023Q2,devtools,2.62209,1-3M,spend
V0024,2023Q3,devtools,3.0381,3-10M,spend
V0024,2023Q4,devtools,2.958674,1-3M,spend
V0024,2024Q1,devtools,3.109964,3-10M,spend
V0024,2024Q2,devtools,3.5764419999999997,3-10M,spend
V0024,2024Q3,devtools,,no_data,none
V0024,2024Q4,devtools,,no_data,none
V0024,2025Q1,devtools,,no_data,none
V0024,2025Q2,devtools,,no_data,none
V0024,2025Q3,devtools,,no_data,none
V0024,2025Q4,devtools,,no_data,none
V0025,2023Q1,devtools,4.14325,3-10M,spend
V0025,2023Q2,devtools,4.146938,3-10M,spend
V0025,2023Q3,devtools,4.75634,3-10M,spend
V0025,2023Q4,devtools,4.150251999999999,3-10M,spend
V0025,2024Q1,devtools,5.743012,3-10M,spend
V0025,2024Q2,devtools,5.397626,3-10M,spend
V0025,2024Q3,devtools,6.58067,3-10M,spend
V0025,2024Q4,devtools,5.960514,3-10M,spend
V0025,2025Q1,devtools,6.19065,3-10M,spend
V0025,2025Q2,devtools,5.718552,3-10M,spend
V0025,2025Q3,devtools,5.956408,3-10M,spend
V0025,2025Q4,devtools,5.179856,3-10M,spend
V0026,2023Q1,devtools,3.262434,3-10M,spend
V0026,2023Q2,devtools,4.158878,3-10M,spend
V0026,2023Q3,devtools,3.313478,3-10M,spend
V0026,2023Q4,devtools,4.211847999999999,3-10M,spend
V0026,2024Q1,devtools,4.347792,3-10M,spend
V0026,2024Q2,devtools,4.21654,3-10M,spend
V0026,2024Q3,devtools,4.849266,3-10M,spend
V0026,2024Q4,devtools,3.047096,3-10M,spend
V0026,2025Q1,devtools,3.817928,3-10M,spend
V0026,2025Q2,devtools,4.343406,3-10M,spend
V0026,2025Q3,devtools,4.531658,3-10M,spend
V0026,2025Q4,devtools,5.03267,3-10M,spend
V0027,2023Q1,devtools,22.54383,10-30M,spend
V0027,2023Q2,devtools,19.829772,10-30M,spend
V0027,2023Q3,devtools,25.997078,10-30M,spend
V0027,2023Q4,devtools,25.294564,10-30M,spend
V0027,2024Q1,devtools,25.024772,10-30M,spend
V0027,2024Q2,devtools,30.541641999999996,30-100M,spend
V0027,2024Q3,devtools,31.868874,30-100M,spend
V0027,2024Q4,devtools,35.633968,30-100M,spend
V0027,2025Q1,devtools,24.918538,10-30M,spend
V0027,2025Q2,devtools,33.48332799999999,30-100M,spend
V0027,2025Q3,devtools,33.039094,30-100M,spend
V0027,2025Q4,devtools,36.119774,30-100M,spend
V0028,2023Q1,devtools,58.08,30-100M,jobs
V0028,2023Q2,devtools,60.72,30-100M,jobs
V0028,2023Q3,devtools,66.0,30-100M,jobs
V0028,2023Q4,devtools,73.92,30-100M,jobs
V0028,2024Q1,devtools,71.28,30-100M,jobs
V0028,2024Q2,devtools,63.36,30-100M,jobs
V0028,2024Q3,devtools,71.28,30-100M,jobs
V0028,2024Q4,devtools,76.56,30-100M,jobs
V0028,2025Q1,devtools,190.08,>100M,jobs
V0028,2025Q2,devtools,211.2,>100M,jobs
V0028,2025Q3,devtools,221.76,>100M,jobs
V0028,2025Q4,devtools,253.44,>100M,jobs
V0029,2023Q1,devtools,8.908906,3-10M,spend
V0029,2023Q2,devtools,9.313476,3-10M,spend
V0029,2023Q3,devtools,8.297839999999999,3-10M,spend
V0029,2023Q4,devtools,8.217746000000002,3-10M,spend
V0029,2024Q1,devtools,9.832868,3-10M,spend
V0029,2024Q2,devtools,14.149054,10-30M,spend
V0029,2024Q3,devtools,16.866226,10-30M,spend
V0029,2024Q4,devtools,15.556714000000001,10-30M,spend
V0029,2025Q1,devtools,18.326312,10-30M,spend
V0029,2025Q2,devtools,17.052978,10-30M,spend
V0029,2025Q3,devtools,20.194986,10-30M,spend
V0029,2025Q4,devtools,25.70656,10-30M,spend
V0030,2023Q1,devtools,0.161408,<1M,web
V0030,2023Q2,devtools,0.11968,<1M,web
V0030,2023Q3,devtools,0.132224,<1M,web
V0030,2023Q4,devtools,0.162048,<1M,web
V0030,2024Q1,devtools,0.157568,<1M,web
V0030,2024Q2,devtools,0.170752,<1M,web
V0030,2024Q3,devtools,0.18752,<1M,web
V0030,2024Q4,devtools,0.165504,<1M,web
V0030,2025Q1,devtools,0.194944,<1M,web
V0030,2025Q2,devtools,0.199168,<1M,web
V0030,2025Q3,devtools,0.211072,<1M,web
V0030,2025Q4,devtools,0.175872,<1M,web
V0031,2023Q1,devtools,7.92,3-10M,jobs
V0031,2023Q2,devtools,7.92,3-10M,jobs
V0031,2023Q3,devtools,7.92,3-10M,jobs
V0031,2023Q4,devtools,7.92,3-10M,jobs
V0031,2024Q1,devtools,10.56,10-30M,jobs
V0031,2024Q2,devtools,10.56,10-30M,jobs
V0031,2024Q3,devtools,10.56,10-30M,jobs
V0031,2024Q4,devtools,10.56,10-30M,jobs
V0031,2025Q1,devtools,13.2,10-30M,jobs
V0031,2025Q2,devtools,13.2,10-30M,jobs
V0031,2025Q3,devtools,15.84,10-30M,jobs
V0031,2025Q4,devtools,18.48,10-30M,jobs
V0032,2023Q1,devtools,15.84,10-30M,jobs
V0032,2023Q2,devtools,18.48,10-30M,jobs
V0032,2023Q3,devtools,18.48,10-30M,jobs
V0032,2023Q4,devtools,18.48,10-30M,jobs
V0032,2024Q1,devtools,21.12,10-30M,jobs
V0032,2024Q2,devtools,21.12,10-30M,jobs
V0032,2024Q3,devtools,23.76,10-30M,jobs
V0032,2024Q4,devtools,26.4,10-30M,jobs
V0032,2025Q1,devtools,26.4,10-30M,jobs
V0032,2025Q2,devtools,26.4,10-30M,jobs
V0032,2025Q3,devtools,21.12,10-30M,jobs
V0032,2025Q4,devtools,26.4,10-30M,jobs
V0033,2023Q1,devtools,95.04,30-100M,jobs
V0033,2023Q2,devtools,113.52,>100M,jobs
V0033,2023Q3,devtools,113.52,>100M,jobs
V0033,2023Q4,devtools,132.0,>100M,jobs
V0033,2024Q1,devtools,158.4,>100M,jobs
V0033,2024Q2,devtools,0.0,<1M,jobs
V0033,2024Q3,devtools,0.0,<1M,jobs
V0033,2024Q4,devtools,0.0,<1M,jobs
V0033,2025Q1,devtools,0.0,<1M,jobs
V0033,2025Q2,devtools,0.0,<1M,jobs
V0033,2025Q3,devtools,0.0,<1M,jobs
V0033,2025Q4,devtools,0.0,<1M,jobs
V0034,2023Q1,devtools,2.29719,1-3M,spend
V0034,2023Q2,devtools,2.948516,1-3M,spend
V0034,2023Q3,devtools,3.799528,3-10M,spend
V0034,2023Q4,devtools,3.430476,3-10M,spend
V0034,2024Q1,devtools,3.8681559999999995,3-10M,spend
V0034,2024Q2,devtools,3.43226,3-10M,spend
V0034,2024Q3,devtools,4.437184,3-10M,spend
V0034,2024Q4,devtools,4.377278,3-10M,spend
V0034,2025Q1,devtools,4.679334,3-10M,spend
V0034,2025Q2,devtools,4.515998,3-10M,spend
V0034,2025Q3,devtools,5.157586,3-10M,spend
V0034,2025Q4,devtools,5.29563,3-10M,spend
V0035,2023Q1,devtools,3.92675,3-10M,spend
V0035,2023Q2,devtools,3.12428,3-10M,spend
V0035,2023Q3,devtools,3.4718339999999994,3-10M,spend
V0035,2023Q4,devtools,3.858046,3-10M,spend
V0035,2024Q1,devtools,4.12808,3-10M,spend
V0035,2024Q2,devtools,3.902464,3-10M,spend
V0035,2024Q3,devtools,4.169986,3-10M,spend
V0035,2024Q4,devtools,5.174406,3-10M,spend
V0035,2025Q1,devtools,5.04666,3-10M,spend
V0035,2025Q2,devtools,4.979354,3-10M,spend
V0035,2025Q3,devtools,5.667362,3-10M,spend
V0035,2025Q4,devtools,4.804776,3-10M,spend
V0036,2023Q1,devtools,0.747868,<1M,spend
V0036,2023Q2,devtools,0.867182,<1M,spend
V0036,2023Q3,devtools,0.963294,<1M,spend
V0036,2023Q4,devtools,1.166586,1-3M,spend
V0036,2024Q1,devtools,1.081812,1-3M,spend
V0036,2024Q2,devtools,1.235046,1-3M,spend
V0036,2024Q3,devtools,1.268616,1-3M,spend
V0036,2024Q4,devtools,1.469618,1-3M,spend
V0036,2025Q1,devtools,1.0390799999999998,1-3M,spend
V0036,2025Q2,devtools,1.62937,1-3M,spend
V0036,2025Q3,devtools,1.355384,1-3M,spend
V0036,2025Q4,devtools,1.708768,1-3M,spend
V0037,2023Q1,devtools,13.2,10-30M,jobs
V0037,2023Q2,devtools,3.811632,3-10M,spend
V0037,2023Q3,devtools,5.781706,3-10M,spend
V0037,2023Q4,devtools,6.015916,3-10M,spend
V0037,2024Q1,devtools,5.349694,3-10M,spend
V0037,2024Q2,devtools,8.576248,3-10M,spend
V0037,2024Q3,devtools,6.349976,3-10M,spend
V0037,2024Q4,devtools,9.824958,3-10M,spend
V0037,2025Q1,devtools,8.693023999999998,3-10M,spend
V0037,2025Q2,devtools,6.235946,3-10M,spend
V0037,2025Q3,devtools,9.638894,3-10M,spend
V0037,2025Q4,devtools,8.294166,3-10M,spend
V0038,2023Q1,devtools,34.32,30-100M,jobs
V0038,2023Q2,devtools,42.24,30-100M,jobs
V0038,2023Q3,devtools,36.96,30-100M,jobs
V0038,2023Q4,devtools,39.6,30-100M,jobs
V0038,2024Q1,devtools,39.6,30-100M,jobs
V0038,2024Q2,devtools,47.52,30-100M,jobs
V0038,2024Q3,devtools,47.52,30-100M,jobs
V0038,2024Q4,devtools,44.88,30-100M,jobs
V0038,2025Q1,devtools,55.44,30-100M,jobs
V0038,2025Q2,devtools,58.08,30-100M,jobs
V0038,2025Q3,devtools,66.0,30-100M,jobs
V0038,2025Q4,devtools,60.72,30-100M,jobs
V0039,2023Q1,devtools,4.484224,3-10M,spend
V0039,2023Q2,devtools,5.205488,3-10M,spend
V0039,2023Q3,devtools,4.062794,3-10M,spend
V0039,2023Q4,devtools,4.234448,3-10M,spend
V0039,2024Q1,devtools,5.539482,3-10M,spend
V0039,2024Q2,devtools,6.775724,3-10M,spend
V0039,2024Q3,devtools,6.868856,3-10M,spend
V0039,2024Q4,devtools,8.53319,3-10M,spend
V0039,2025Q1,devtools,9.230846,3-10M,spend
V0039,2025Q2,devtools,9.330874,3-10M,spend
V0039,2025Q3,devtools,10.792948,10-30M,spend
V0039,2025Q4,devtools,11.102194,10-30M,spend
V0040,2023Q1,devtools,15.84,10-30M,jobs
V0040,2023Q2,devtools,15.84,10-30M,jobs
V0040,2023Q3,devtools,21.12,10-30M,jobs
V0040,2023Q4,devtools,23.76,10-30M,jobs
V0040,2024Q1,devtools,23.76,10-30M,jobs
V0040,2024Q2,devtools,10.56,10-30M,jobs
V0040,2024Q3,devtools,10.56,10-30M,jobs
V0040,2024Q4,devtools,10.56,10-30M,jobs
V0040,2025Q1,devtools,10.56,10-30M,jobs
V0040,2025Q2,devtools,10.56,10-30M,jobs
V0040,2025Q3,devtools,13.2,10-30M,jobs
V0040,2025Q4,devtools,13.2,10-30M,jobs
V0041,2023Q1,devtools,11.285946,10-30M,spend
V0041,2023Q2,devtools,15.781328,10-30M,spend
V0041,2023Q3,devtools,12.118616,10-30M,spend
V0041,2023Q4,devtools,16.204338,10-30M,spend
V0041,2024Q1,devtools,18.130218,10-30M,spend
V0041,2024Q2,devtools,17.729112,10-30M,spend
V0041,2024Q3,devtools,19.678228,10-30M,spend
V0041,2024Q4,devtools,19.950316,10-30M,spend
V0041,2025Q1,devtools,26.499571999999997,10-30M,spend
V0041,2025Q2,devtools,31.089806,30-100M,spend
V0041,2025Q3,devtools,28.657785999999998,10-30M,spend
V0041,2025Q4,devtools,28.593647999999995,10-30M,spend
V0042,2023Q1,devtools,18.48,10-30M,jobs
V0042,2023Q2,devtools,21.12,10-30M,jobs
V0042,2023Q3,devtools,23.76,10-30M,jobs
V0042,2023Q4,devtools,29.04,10-30M,jobs
V0042,2024Q1,devtools,23.76,10-30M,jobs
V0042,2024Q2,devtools,26.4,10-30M,jobs
V0042,2024Q3,devtools,26.4,10-30M,jobs
V0042,2024Q4,devtools,26.4,10-30M,jobs
V0042,2025Q1,devtools,31.68,30-100M,jobs
V0042,2025Q2,devtools,29.04,10-30M,jobs
V0042,2025Q3,devtools,31.68,30-100M,jobs
V0042,2025Q4,devtools,34.32,30-100M,jobs
V0043,2023Q1,devtools,2.928284,1-3M,spend
V0043,2023Q2,devtools,2.502522,1-3M,spend
V0043,2023Q3,devtools,2.704138,1-3M,spend
V0043,2023Q4,devtools,2.445142,1-3M,spend
V0043,2024Q1,devtools,3.830944,3-10M,spend
V0043,2024Q2,devtools,2.909366,1-3M,spend
V0043,2024Q3,devtools,3.330132,3-10M,spend
V0043,2024Q4,devtools,3.64998,3-10M,spend
V0043,2025Q1,devtools,3.832876,3-10M,spend
V0043,2025Q2,devtools,2.696378,1-3M,spend
V0043,2025Q3,devtools,2.20637,1-3M,spend
V0043,2025Q4,devtools,2.8393,1-3M,spend
V0044,2023Q1,devtools,8.018078,3-10M,spend
V0044,2023Q2,devtools,8.198544,3-10M,spend
V0044,2023Q3,devtools,7.255389999999999,3-10M,spend
V0044,2023Q4,devtools,8.680494,3-10M,spend
V0044,2024Q1,devtools,9.603638,3-10M,spend
