vendor_id,quarter,arr_m,headcount,growth
V0029,2025Q4,8.401265,45,0.123248
V0030,2023Q1,4.392342,24,0.075649
V0030,2023Q2,4.793023,26,0.091223
V0030,2023Q3,5.267951,28,0.099087
V0030,2023Q4,5.914964,31,0.122821
V0030,2024Q1,6.668640,33,0.127419
V0030,2024Q2,7.404364,36,0.110326
V0030,2024Q3,8.164481,39,0.102658
V0030,2024Q4,8.890814,43,0.088963
V0030,2025Q1,9.605170,43,0.080348
V0030,2025Q2,10.079643,44,0.049398
V0030,2025Q3,10.318228,44,0.023670
V0030,2025Q4,10.403409,44,0.008255
V0031,2023Q1,17.661117,80,0.071227
V0031,2023Q2,18.712821,86,0.059549
V0031,2023Q3,19.824668,91,0.059416
V0031,2023Q4,20.227171,97,0.020303
V0031,2024Q1,21.277272,104,0.051915
V0031,2024Q2,22.430016,111,0.054177
V0031,2024Q3,23.894698,119,0.065300
V0031,2024Q4,25.673527,127,0.074444
V0031,2025Q1,26.561935,135,0.034604
V0031,2025Q2,29.216363,144,0.099934
V0031,2025Q3,31.783856,154,0.087879
V0031,2025Q4,34.403334,165,0.082415
V0032,2023Q1,1.334606,9,0.096167
V0032,2023Q2,1.466831,9,0.099074
V0032,2023Q3,1.591905,10,0.085268
V0032,2023Q4,1.736288,11,0.090699
V0032,2024Q1,1.934735,12,0.114294
V0032,2024Q2,2.116429,13,0.093912
V0032,2024Q3,2.269853,14,0.072492
V0032,2024Q4,2.511863,15,0.106619
V0032,2025Q1,2.769276,16,0.102479
V0032,2025Q2,3.023059,18,0.091642
V0032,2025Q3,3.433754,19,0.135854
V0032,2025Q4,3.829251,21,0.115179
V0033,2023Q1,11.181533,79,0.026264
V0033,2023Q2,11.584357,82,0.036026
V0033,2023Q3,12.043022,84,0.039593
V0033,2023Q4,12.347077,87,0.025247
V0033,2024Q1,12.667810,90,0.025976
V0033,2024Q2,13.145362,93,0.037698
V0033,2024Q3,13.736617,93,0.044978
V0033,2024Q4,13.790013,82,0.003887
V0033,2025Q1,12.608388,73,-0.085687
V0033,2025Q2,11.441795,64,-0.092525
V0033,2025Q3,10.404980,57,-0.090617
V0033,2025Q4,9.284953,50,-0.107643
V0034,2023Q1,6.186913,27,0.165926
V0034,2023Q2,7.589019,31,0.226625
V0034,2023Q3,8.777850,36,0.156651
V0034,2023Q4,10.433529,41,0.188620
V0034,2024Q1,11.887664,47,0.139371
V0034,2024Q2,13.754171,55,0.157012
V0034,2024Q3,16.380540,63,0.190951
V0034,2024Q4,19.739544,73,0.205061
V0034,2025Q1,22.979464,85,0.164133
V0034,2025Q2,26.097892,85,0.135705
V0034,2025Q3,27.783612,84,0.064592
V0034,2025Q4,27.532257,84,-0.009047
V0035,2023Q1,1.799230,8,0.039158
V0035,2023Q2,1.880801,9,0.045337
V0035,2023Q3,1.976493,9,0.050878
V0035,2023Q4,2.066168,9,0.045371
V0035,2024Q1,2.082681,9,0.007992
V0035,2024Q2,2.187850,10,0.050497
V0035,2024Q3,2.160899,10,-0.012319
V0035,2024Q4,2.135205,9,-0.011890
V0035,2025Q1,1.878664,8,-0.120148
V0035,2025Q2,1.656209,7,-0.118411
V0035,2025Q3,1.450737,6,-0.124062
V0035,2025Q4,1.271058,5,-0.123853
V0036,2023Q1,4.465144,14,0.080390
V0036,2023Q2,4.740323,15,0.061628
V0036,2023Q3,5.172546,17,0.091180
V0036,2023Q4,5.572698,18,0.077361
V0036,2024Q1,6.179547,20,0.108897
V0036,2024Q2,6.764994,21,0.094740
V0036,2024Q3,7.283177,23,0.076598
V0036,2024Q4,7.941398,25,0.090376
V0036,2025Q1,8.785448,27,0.106285
V0036,2025Q2,9.470694,29,0.077998
V0036,2025Q3,10.196694,32,0.076658
V0036,2025Q4,11.320379,35,0.110201
V0037,2023Q1,20.685441,122,0.045764
V0037,2023Q2,21.884549,130,0.057969
V0037,2023Q3,22.682083,138,0.036443
V0037,2023Q4,22.697595,146,0.000684
V0037,2024Q1,22.668928,155,-0.001263
V0037,2024Q2,23.544045,165,0.038604
V0037,2024Q3,25.054311,175,0.064146
V0037,2024Q4,26.950117,186,0.075668
V0037,2025Q1,29.035912,198,0.077395
V0037,2025Q2,30.365403,210,0.045788
V0037,2025Q3,32.436085,223,0.068192
V0037,2025Q4,35.319290,237,0.088889
V0038,2023Q1,61.861488,376,0.129168
V0038,2023Q2,70.212967,422,0.135003
V0038,2023Q3,77.294401,475,0.100857
V0038,2023Q4,88.333553,534,0.142820
V0038,2024Q1,98.701927,601,0.117378
V0038,2024Q2,110.522016,601,0.119755
V0038,2024Q3,118.126035,596,0.068801
V0038,2024Q4,117.644816,591,-0.004074
V0038,2025Q1,118.028545,586,0.003262
V0038,2025Q2,117.877001,581,-0.001284
V0038,2025Q3,120.741452,576,0.024300
V0038,2025Q4,122.488666,572,0.014471
V0039,2023Q1,2.855850,16,0.170583
V0039,2023Q2,3.335647,19,0.168005
V0039,2023Q3,3.853010,23,0.155101
V0039,2023Q4,4.426574,27,0.148861
V0039,2024Q1,5.200419,31,0.174818
V0039,2024Q2,6.224023,37,0.196831
V0039,2024Q3,7.623398,43,0.224834
V0039,2024Q4,9.329445,51,0.223791
V0039,2025Q1,11.067229,60,0.186269
V0039,2025Q2,13.134421,60,0.186785
V0039,2025Q3,14.328161,59,0.090886
V0039,2025Q4,14.173041,58,-0.010826
V0040,2023Q1,11.356221,61,0.042805
V0040,2023Q2,11.730882,64,0.032992
V0040,2023Q3,12.519591,67,0.067234
V0040,2023Q4,14.022490,70,0.120044
V0040,2024Q1,15.436294,73,0.100824
V0040,2024Q2,16.916686,90,0.095903
V0040,2024Q3,19.251438,111,0.138015
V0040,2024Q4,23.923045,137,0.242663
V0040,2025Q1,30.702040,170,0.283367
V0040,2025Q2,38.454200,209,0.252497
V0040,2025Q3,48.156260,258,0.252302
V0040,2025Q4,59.805336,319,0.241902
V0041,2023Q1,5.112302,21,0.022072
V0041,2023Q2,5.372602,22,0.050917
V0041,2023Q3,5.465343,22,0.017262
V0041,2023Q4,5.507725,23,0.007755
V0041,2024Q1,5.748751,24,0.043761
V0041,2024Q2,5.992726,24,0.042440
V0041,2024Q3,6.322709,25,0.055064
V0041,2024Q4,6.292644,25,-0.004755
V0041,2025Q1,6.374398,25,0.012992
V0041,2025Q2,6.158398,24,-0.033885
V0041,2025Q3,5.538667,22,-0.100632
V0041,2025Q4,4.759540,16,-0.140670
V0042,2023Q1,12.215288,77,0.031028
V0042,2023Q2,12.511343,82,0.024236
V0042,2023Q3,12.903007,87,0.031305
V0042,2023Q4,13.470569,92,0.043987
V0042,2024Q1,13.823695,98,0.026215
V0042,2024Q2,15.057053,104,0.089221
V0042,2024Q3,16.370457,110,0.087229
V0042,2024Q4,17.471086,116,0.067233
V0042,2025Q1,18.415265,123,0.054042
V0042,2025Q2,20.338040,131,0.104412
V0042,2025Q3,22.939586,139,0.127915
V0042,2025Q4,24.888111,147,0.084942
V0043,2023Q1,6.555273,30,-0.013637
V0043,2023Q2,6.468627,31,-0.013218
V0043,2023Q3,6.635862,31,0.025853
V0043,2023Q4,6.664773,31,0.004357
V0043,2024Q1,6.657087,31,-0.001153
V0043,2024Q2,6.508652,32,-0.022297
V0043,2024Q3,6.371220,32,-0.021115
V0043,2024Q4,6.425295,32,0.008487
V0043,2025Q1,6.172695,29,-0.039313
V0043,2025Q2,5.423539,27,-0.121366
V0043,2025Q3,4.791528,24,-0.116531
V0043,2025Q4,4.475641,22,-0.065926
V0044,2023Q1,9.542209,49,0.037879
V0044,2023Q2,9.988604,52,0.046781
V0044,2023Q3,10.558323,54,0.057037
V0044,2023Q4,11.146288,57,0.055687
V0044,2024Q1,11.327199,60,0.016231
V0044,2024Q2,11.766851,63,0.038814
V0044,2024Q3,12.234990,66,0.039785
V0044,2024Q4,12.987495,69,0.061504
V0044,2025Q1,13.353514,72,0.028182
V0044,2025Q2,14.152025,76,0.059798
V0044,2025Q3,14.782167,79,0.044527
V0044,2025Q4,14.966787,83,0.012489
V0045,2023Q1,18.674670,78,0.172164
V0045,2023Q2,22.332088,91,0.195849
V0045,2023Q3,26.975377,107,0.207920
V0045,2023Q4,32.752119,126,0.214149
V0045,2024Q1,39.603333,126,0.209184
V0045,2024Q2,43.437851,124,0.096823
V0045,2024Q3,41.042069,123,-0.055154
V0045,2024Q4,39.798617,121,-0.030297
V0045,2025Q1,38.162100,119,-0.041120
V0045,2025Q2,37.477182,118,-0.017948
V0045,2025Q3,37.011903,116,-0.012415
V0045,2025Q4,35.476092,114,-0.041495
V0046,2023Q1,3.346172,19,0.036428
V0046,2023Q2,3.483982,20,0.041184
V0046,2023Q3,3.698124,21,0.061465
V0046,2023Q4,4.011983,22,0.084870
V0046,2024Q1,4.212560,27,0.049994
V0046,2024Q2,4.588034,32,0.089132
V0046,2024Q3,5.615598,38,0.223966
V0046,2024Q4,6.905535,46,0.229706
V0046,2025Q1,8.419576,55,0.219250
V0046,2025Q2,9.783058,66,0.161942
V0046,2025Q3,11.351457,79,0.160318
V0046,2025Q4,13.429102,95,0.183029
V0047,2023Q1,2.759053,20,0.165921
V0047,2023Q2,3.147635,23,0.140839
V0047,2023Q3,3.554975,27,0.129412
V0047,2023Q4,4.021794,31,0.131314
V0047,2024Q1,4.557015,36,0.133080
V0047,2024Q2,5.203562,41,0.141879
V0047,2024Q3,6.028592,48,0.158551
V0047,2024Q4,7.018067,56,0.164130
V0047,2025Q1,8.297865,65,0.182358
V0047,2025Q2,9.492098,65,0.143921
V0047,2025Q3,10.485548,65,0.104661
V0047,2025Q4,10.571562,66,0.008203
V0048,2023Q1,6.526207,23,0.077724
V0048,2023Q2,7.090582,25,0.086478
V0048,2023Q3,7.571172,27,0.067779
V0048,2023Q4,8.203118,29,0.083467
V0048,2024Q1,8.947909,31,0.090794
V0048,2024Q2,9.607649,34,0.073731
V0048,2024Q3,10.270791,37,0.069022
V0048,2024Q4,11.039992,40,0.074892
V0048,2025Q1,12.035750,43,0.090195
V0048,2025Q2,12.792756,46,0.062896
V0048,2025Q3,13.948646,50,0.090355
V0048,2025Q4,15.057460,54,0.079493
V0049,2023Q1,11.641625,68,0.145911
V0049,2023Q2,13.239989,79,0.137297
V0049,2023Q3,15.826328,91,0.195343
V0049,2023Q4,18.792454,105,0.187417
V0049,2024Q1,22.216421,105,0.182199
V0049,2024Q2,24.617328,105,0.108069
V0049,2024Q3,24.610104,105,-0.000293
V0049,2024Q4,25.001954,105,0.015922
V0049,2025Q1,25.506984,105,0.020200
V0049,2025Q2,25.332447,105,-0.006843
V0049,2025Q3,25.877189,104,0.021504
V0049,2025Q4,26.311341,104,0.016777
V0050,2023Q1,19.962387,111,0.110934
V0050,2023Q2,21.904884,121,0.097308
V0050,2023Q3,24.311597,132,0.109871
V0050,2023Q4,26.478530,144,0.089132
V0050,2024Q1,29.054251,158,0.097276
V0050,2024Q2,30.832938,172,0.061220
V0050,2024Q3,33.408813,188,0.083543
V0050,2024Q4,35.294800,205,0.056452
V0050,2025Q1,38.009702,223,0.076921
V0050,2025Q2,39.249955,243,0.032630
V0050,2025Q3,41.621213,266,0.060414
V0050,2025Q4,45.375560,290,0.090203
V0051,2023Q1,7.084552,36,0.080586
V0051,2023Q2,7.772879,37,0.097159
V0051,2023Q3,8.151944,39,0.048768
V0051,2023Q4,8.418955,41,0.032754
V0051,2024Q1,8.665381,43,0.029270
V0051,2024Q2,8.999850,45,0.038598
V0051,2024Q3,9.427138,48,0.047477
V0051,2024Q4,9.411408,50,-0.001669
V0051,2025Q1,9.746163,61,0.035569
V0051,2025Q2,10.696163,75,0.097474
V0051,2025Q3,12.874386,93,0.203645
V0051,2025Q4,15.913264,114,0.236041
V0052,2023Q1,5.801022,34,0.111441
V0052,2023Q2,6.443157,37,0.110693
V0052,2023Q3,7.043002,40,0.093098
V0052,2023Q4,7.848864,44,0.114420
V0052,2024Q1,8.772540,47,0.117683
V0052,2024Q2,9.587053,52,0.092848
V0052,2024Q3,10.144014,56,0.058095
V0052,2024Q4,10.775124,61,0.062215
V0052,2025Q1,11.720647,67,0.087751
V0052,2025Q2,12.696579,72,0.083266
V0052,2025Q3,14.238062,79,0.121409
V0052,2025Q4,15.806498,86,0.110158
V0053,2023Q1,3.504701,13,0.018344
V0053,2023Q2,3.426202,14,-0.022398
V0053,2023Q3,3.319035,14,-0.031279
V0053,2023Q4,3.368895,15,0.015023
V0053,2024Q1,3.417217,15,0.014343
V0053,2024Q2,3.487242,16,0.020492
