txn_id,panelist_id,date,merchant_descriptor,amount,instrument
49,1032,2022-01-01,STREAMBIRD.COM,11.99,card_C
50,1052,2022-01-01,STREAMBIRD.COM,11.99,card_B
51,1054,2022-01-01,STREAMBIRD.COM,11.99,card_B
52,1055,2022-01-01,GLIMMERLY,38.48,card_B
53,1063,2022-01-01,STREAMBIRD.COM,11.99,wallet_W
54,1084,2022-01-01,VANTRY MKTPLC,17.79,card_C
55,1104,2022-01-01,STREAMBIRD.COM,11.99,wallet_W
56,1115,2022-01-01,VANTRY MKTPLC,37.86,card_C
57,1139,2022-01-01,STREAMBIRD.COM,11.99,card_B
58,1146,2022-01-01,STREAMBIRD.COM,11.99,wallet_W
59,1152,2022-01-01,GLIMMERLY,67.71,card_A
60,1152,2022-01-01,GLIMMERLY,132.13,card_A
61,1160,2022-01-01,VANTRY MKTPLC,56.96,card_A
62,1184,2022-01-01,VANTRY MKTPLC,20.52,wallet_W
63,1193,2022-01-01,VANTRY MKTPLC,23.05,card_A
64,1195,2022-01-01,GLIMMERLY,48.89,card_A
65,1196,2022-01-01,STREAMBIRD.COM,11.99,card_A
66,1217,2022-01-01,GLIMMERLY,72.84,card_A
67,1272,2022-01-01,GLIMMERLY,58.65,card_B
68,1281,2022-01-01,VANTRY MKTPLC,48.47,card_A
69,1289,2022-01-01,STREAMBIRD.COM,11.99,card_B
70,1293,2022-01-01,VANTRY MKTPLC,34.83,card_A
71,1301,2022-01-01,VANTRY MKTPLC,8.36,card_B
72,1339,2022-01-01,GLIMMERLY,133.29,card_C
73,1377,2022-01-01,SNACKPOST MARKET,9.82,card_B
74,1383,2022-01-01,GLIMMERLY,31.70,card_A
75,1402,2022-01-01,VANTRY MKTPLC,135.83,card_B
76,1464,2022-01-01,SNACKPOST MARKET,9.78,card_A
77,1483,2022-01-01,PINEFORT CLUB,71.76,card_B
78,1543,2022-01-01,STREAMBIRD.COM,11.99,card_C
79,1550,2022-01-01,STREAMBIRD.COM,11.99,card_A
80,1553,2022-01-01,STREAMBIRD.COM,11.99,card_A
81,1558,2022-01-01,VANTRY MKTPLC,86.15,card_B
82,1569,2022-01-01,GLIMMERLY,67.44,card_B
83,1631,2022-01-01,STREAMBIRD.COM,11.99,card_B
84,1636,2022-01-01,STREAMBIRD.COM,11.99,card_B
85,1638,2022-01-01,STREAMBIRD.COM,11.99,card_A
86,1639,2022-01-01,PINEFORT CLUB,32.49,card_B
87,1645,2022-01-01,SNACKPOST MARKET,12.33,card_B
88,1661,2022-01-01,VANTRY MKTPLC,81.15,wallet_W
89,1665,2022-01-01,VANTRY MKTPLC,16.91,card_B
90,1667,2022-01-01,GLIMMERLY,9.34,card_A
91,1671,2022-01-01,STREAMBIRD.COM,11.99,card_C
92,1671,2022-01-01,VANTRY MKTPLC,35.22,card_C
93,1682,2022-01-01,VANTRY MKTPLC,14.10,card_C
94,1694,2022-01-01,STREAMBIRD.COM,11.99,card_C
95,1708,2022-01-01,STREAMBIRD.COM,11.99,card_A
96,1719,2022-01-01,STREAMBIRD.COM,11.99,wallet_W
97,1736,2022-01-01,STREAMBIRD.COM,11.99,card_A
98,1789,2022-01-01,STREAMBIRD.COM,11.99,wallet_W
99,1826,2022-01-01,SNACKPOST MARKET,19.65,card_B
100,1827,2022-01-01,PINEFORT CLUB,9.40,card_A
101,1834,2022-01-01,VANTRY MKTPLC,15.74,card_A
102,1887,2022-01-01,VANTRY MKTPLC,24.71,wallet_W
103,1887,2022-01-01,VANTRY MKTPLC,26.25,card_B
104,2028,2022-01-01,STREAMBIRD.COM,11.99,card_A
105,2036,2022-01-01,SNACKPOST MARKET,51.91,card_B
106,2062,2022-01-01,STREAMBIRD.COM,11.99,card_B
107,2114,2022-01-01,STREAMBIRD.COM,11.99,wallet_W
108,2114,2022-01-01,VANTRY MKTPLC,10.14,wallet_W
109,2126,2022-01-01,STREAMBIRD.COM,11.99,card_B
110,2159,2022-01-01,STREAMBIRD.COM,11.99,wallet_W
111,2185,2022-01-01,SNACKPOST MARKET,15.12,wallet_W
112,2187,2022-01-01,SNACKPOST MARKET,29.60,card_B
113,2210,2022-01-01,SNACKPOST MARKET,8.99,card_C
114,2257,2022-01-01,STREAMBIRD.COM,11.99,card_B
115,2260,2022-01-01,STREAMBIRD.COM,11.99,card_B
116,2277,2022-01-01,GLIMMERLY,27.02,card_B
117,2279,2022-01-01,STREAMBIRD.COM,11.99,card_A
118,2284,2022-01-01,STREAMBIRD.COM,11.99,card_A
119,2286,2022-01-01,SNACKPOST MARKET,18.71,card_B
120,2287,2022-01-01,STREAMBIRD.COM,11.99,card_A
121,2293,2022-01-01,STREAMBIRD.COM,11.99,card_A
122,2349,2022-01-01,VANTRY MKTPLC,28.02,wallet_W
123,2358,2022-01-01,STREAMBIRD.COM,11.99,card_A
124,2402,2022-01-01,GLIMMERLY,77.66,card_A
125,2404,2022-01-01,STREAMBIRD.COM,11.99,card_A
126,2430,2022-01-01,VANTRY MKTPLC,37.49,card_B
127,2451,2022-01-01,VANTRY MKTPLC,7.45,card_B
128,2464,2022-01-01,STREAMBIRD.COM,11.99,card_B
129,2465,2022-01-01,STREAMBIRD.COM,11.99,card_B
130,2514,2022-01-01,STREAMBIRD.COM,11.99,card_B
131,2610,2022-01-01,STREAMBIRD.COM,11.99,card_A
132,2633,2022-01-01,STREAMBIRD.COM,11.99,card_A
133,2642,2022-01-01,SNACKPOST MARKET,15.50,card_A
134,2660,2022-01-01,PINEFORT CLUB,41.00,card_A
135,2670,2022-01-01,STREAMBIRD.COM,11.99,card_A
136,2689,2022-01-01,STREAMBIRD.COM,11.99,card_C
137,2705,2022-01-01,STREAMBIRD.COM,11.99,wallet_W
138,2725,2022-01-01,STREAMBIRD.COM,11.99,card_C
139,2726,2022-01-01,STREAMBIRD.COM,11.99,card_A
140,2730,2022-01-01,SNACKPOST MARKET,6.86,card_A
141,2737,2022-01-01,SNACKPOST MARKET,4.61,card_A
142,2755,2022-01-01,VANTRY MKTPLC,38.42,card_C
143,2763,2022-01-01,GLIMMERLY,70.57,wallet_W
144,2787,2022-01-01,SNACKPOST MARKET,9.78,card_A
145,2800,2022-01-01,STREAMBIRD.COM,11.99,card_B
146,2801,2022-01-01,PINEFORT CLUB,32.35,card_A
147,2832,2022-01-01,GLIMMERLY,87.52,card_A
148,2875,2022-01-01,PINEFORT CLUB,46.05,wallet_W
149,2895,2022-01-01,STREAMBIRD.COM,11.99,card_B
150,2916,2022-01-01,STREAMBIRD.COM,11.99,card_B
151,2939,2022-01-01,STREAMBIRD.COM,11.99,card_A
152,2956,2022-01-01,SNACKPOST MARKET,19.89,card_C
153,2967,2022-01-01,VANTRY MKTPLC,104.62,wallet_W
154,3070,2022-01-01,STREAMBIRD.COM,11.99,card_C
155,3071,2022-01-01,SNACKPOST MARKET,8.58,card_B
156,3079,2022-01-01,PINEFORT CLUB,42.11,card_A
157,3079,2022-01-01,STREAMBIRD.COM,11.99,card_A
158,3091,2022-01-01,STREAMBIRD.COM,11.99,card_B
159,3099,2022-01-01,STREAMBIRD.COM,11.99,card_C
160,3107,2022-01-01,STREAMBIRD.COM,11.99,card_B
161,3112,2022-01-01,GLIMMERLY,34.31,wallet_W
162,3137,2022-01-01,STREAMBIRD.COM,11.99,card_B
163,3138,2022-01-01,PINEFORT CLUB,93.39,card_A
164,3170,2022-01-01,STREAMBIRD.COM,11.99,card_B
165,3208,2022-01-01,GLIMMERLY,29.35,card_B
166,3229,2022-01-01,STREAMBIRD.COM,11.99,card_B
167,3237,2022-01-01,SNACKPOST MARKET,8.86,card_A
168,3258,2022-01-01,STREAMBIRD.COM,11.99,card_A
169,3276,2022-01-01,STREAMBIRD.COM,11.99,card_A
170,3283,2022-01-01,VANTRY MKTPLC,32.83,card_B
171,3320,2022-01-01,SNACKPOST MARKET,18.93,card_C
172,3365,2022-01-01,VANTRY MKTPLC,24.28,card_A
173,3394,2022-01-01,STREAMBIRD.COM,11.99,card_A
174,3404,2022-01-01,STREAMBIRD.COM,11.99,card_C
175,3420,2022-01-01,VANTRY MKTPLC,12.89,card_A
176,3422,2022-01-01,STREAMBIRD.COM,11.99,card_B
177,3428,2022-01-01,STREAMBIRD.COM,11.99,wallet_W
178,3436,2022-01-01,VANTRY MKTPLC,15.86,card_A
179,3494,2022-01-01,STREAMBIRD.COM,11.99,card_A
180,3519,2022-01-01,VANTRY MKTPLC,28.09,card_A
181,3550,2022-01-01,STREAMBIRD.COM,11.99,card_C
182,3557,2022-01-01,VANTRY MKTPLC,33.06,card_B
183,3566,2022-01-01,STREAMBIRD.COM,11.99,wallet_W
184,3587,2022-01-01,STREAMBIRD.COM,11.99,card_B
185,3610,2022-01-01,VANTRY MKTPLC,23.40,card_B
186,3627,2022-01-01,SNACKPOST MARKET,12.21,card_C
187,3647,2022-01-01,STREAMBIRD.COM,11.99,card_A
188,3660,2022-01-01,STREAMBIRD.COM,11.99,wallet_W
189,3672,2022-01-01,STREAMBIRD.COM,11.99,card_C
190,3677,2022-01-01,SNACKPOST MARKET,10.35,card_B
191,3689,2022-01-01,STREAMBIRD.COM,11.99,card_C
192,3696,2022-01-01,VANTRY MKTPLC,4.48,card_C
193,3721,2022-01-01,GLIMMERLY,24.09,card_A
194,3721,2022-01-01,PINEFORT CLUB,48.78,card_B
195,3762,2022-01-01,VANTRY MKTPLC,47.08,card_B
196,3787,2022-01-01,STREAMBIRD.COM,11.99,card_A
197,3822,2022-01-01,STREAMBIRD.COM,11.99,card_B
198,3882,2022-01-01,STREAMBIRD.COM,11.99,card_B
199,3918,2022-01-01,VANTRY MKTPLC,34.39,wallet_W
200,3921,2022-01-01,VANTRY MKTPLC,31.92,card_C
201,3946,2022-01-01,GLIMMERLY,51.65,card_C
202,4034,2022-01-01,GLIMMERLY,48.23,card_C
203,4039,2022-01-01,STREAMBIRD.COM,11.99,wallet_W
204,4045,2022-01-01,SNACKPOST MARKET,12.47,card_A
205,4108,2022-01-01,VANTRY MKTPLC,19.13,card_A
206,4111,2022-01-01,STREAMBIRD.COM,11.99,card_C
207,4150,2022-01-01,VANTRY MKTPLC,10.50,card_A
208,4156,2022-01-01,STREAMBIRD.COM,11.99,card_A
209,4157,2022-01-01,SNACKPOST MARKET,5.64,card_B
210,4162,2022-01-01,STREAMBIRD.COM,11.99,card_C
211,4178,2022-01-01,VANTRY MKTPLC,71.66,card_C
212,4182,2022-01-01,VANTRY MKTPLC,15.06,card_A
213,4184,2022-01-01,PINEFORT CLUB,17.32,card_B
214,4184,2022-01-01,PINEFORT CLUB,45.41,card_B
215,4185,2022-01-01,SNACKPOST MARKET,13.41,card_A
216,4222,2022-01-01,VANTRY MKTPLC,16.23,card_A
217,4300,2022-01-01,STREAMBIRD.COM,11.99,card_A
218,4301,2022-01-01,STREAMBIRD.COM,11.99,card_C
219,4346,2022-01-01,VANTRY MKTPLC,6.64,card_B
220,4367,2022-01-01,GLIMMERLY,31.95,card_C
221,4407,2022-01-01,STREAMBIRD.COM,11.99,card_B
222,4448,2022-01-01,STREAMBIRD.COM,11.99,card_C
223,4452,2022-01-01,PINEFORT CLUB,25.23,card_B
224,4459,2022-01-01,SNACKPOST MARKET,14.66,wallet_W
225,4513,2022-01-01,STREAMBIRD.COM,11.99,card_B
226,4515,2022-01-01,STREAMBIRD.COM,11.99,card_B
227,4558,2022-01-01,STREAMBIRD.COM,11.99,card_B
228,4603,2022-01-01,GLIMMERLY,9.23,card_B
229,4623,2022-01-01,STREAMBIRD.COM,11.99,card_A
230,4653,2022-01-01,STREAMBIRD.COM,11.99,wallet_W
231,4656,2022-01-01,SNACKPOST MARKET,17.66,card_A
232,4662,2022-01-01,SNACKPOST MARKET,34.44,card_B
233,4662,2022-01-01,STREAMBIRD.COM,11.99,card_B
234,4681,2022-01-01,STREAMBIRD.COM,11.99,card_A
235,4711,2022-01-01,VANTRY MKTPLC,14.01,card_A
236,4729,2022-01-01,STREAMBIRD.COM,11.99,card_A
237,4737,2022-01-01,SNACKPOST MARKET,9.67,card_C
238,4769,2022-01-01,STREAMBIRD.COM,11.99,card_A
239,4781,2022-01-01,STREAMBIRD.COM,11.99,card_B
240,4817,2022-01-01,VANTRY MKTPLC,10.36,card_B
241,4817,2022-01-01,VANTRY MKTPLC,137.45,card_B
242,4842,2022-01-01,VANTRY MKTPLC,31.12,card_A
243,4858,2022-01-01,VANTRY MKTPLC,12.22,card_B
244,4867,2022-01-01,PINEFORT CLUB,17.34,card_B
245,4872,2022-01-01,STREAMBIRD.COM,11.99,card_B
246,4920,2022-01-01,VANTRY MKTPLC,14.44,card_B
247,4945,2022-01-01,STREAMBIRD.COM,11.99,card_A
248,4949,2022-01-01,SNACKPOST MARKET,6.26,wallet_W
249,4983,2022-01-01,STREAMBIRD.COM,11.99,card_B
250,4997,2022-01-01,VANTRY MKTPLC,46.12,card_B
251,5008,2022-01-01,VANTRY MKTPLC,29.60,card_C
252,5045,2022-01-01,SNACKPOST MARKET,7.48,card_A
253,5061,2022-01-01,VANTRY MKTPLC,105.78,wallet_W
254,5073,2022-01-01,GLIMMERLY,11.14,card_A
255,5119,2022-01-01,GLIMMERLY,28.72,card_B
256,5132,2022-01-01,STREAMBIRD.COM,11.99,card_B
257,5133,2022-01-01,GLIMMERLY,45.88,card_B
258,5142,2022-01-01,VANTRY MKTPLC,22.43,card_A
259,5154,2022-01-01,STREAMBIRD.COM,11.99,card_B
260,5161,2022-01-01,VANTRY MKTPLC,39.03,wallet_W
261,5164,2022-01-01,PINEFORT CLUB,21.92,card_A
262,5180,2022-01-01,VANTRY MKTPLC,61.19,card_A
263,5219,2022-01-01,STREAMBIRD.COM,11.99,card_A
264,5345,2022-01-01,SNACKPOST MARKET,3.80,wallet_W
265,5424,2022-01-01,PINEFORT CLUB,28.42,card_A
266,5527,2022-01-01,SNACKPOST MARKET,13.27,card_A
267,5531,2022-01-01,SNACKPOST MARKET,7.08,wallet_W
268,5551,2022-01-01,SNACKPOST MARKET,13.04,card_B
269,5560,2022-01-01,STREAMBIRD.COM,11.99,card_C
270,5595,2022-01-01,STREAMBIRD.COM,11.99,card_B
271,5605,2022-01-01,GLIMMERLY,71.74,card_B
272,5665,2022-01-01,SNACKPOST MARKET,26.00,card_B
273,5702,2022-01-01,VANTRY MKTPLC,50.58,card_A
274,5747,2022-01-01,VANTRY MKTPLC,59.23,card_A
275,5754,2022-01-01,STREAMBIRD.COM,11.99,card_A
276,5769,2022-01-01,SNACKPOST MARKET,25.44,card_B
277,5806,2022-01-01,STREAMBIRD.COM,11.99,card_B
278,5816,2022-01-01,VANTRY MKTPLC,23.58,card_A
279,5824,2022-01-01,STREAMBIRD.COM,11.99,card_A
280,5850,2022-01-01,VANTRY MKTPLC,20.99,card_A
281,5854,2022-01-01,STREAMBIRD.COM,11.99,card_B
282,5863,2022-01-01,VANTRY MKTPLC,24.28,card_A
283,74,2022-01-02,SNACKPOST MARKET,11.17,card_B
284,78,2022-01-02,SNACKPOST MARKET,30.06,card_A
285,85,2022-01-02,VANTRY MKTPLC,86.08,card_A
286,109,2022-01-02,SNACKPOST MARKET,21.72,card_A
287,138,2022-01-02,SNACKPOST MARKET,7.68,card_A
288,141,2022-01-02,SNACKPOST MARKET,15.57,wallet_W
289,174,2022-01-02,SNACKPOST MARKET,12.45,card_A
290,187,2022-01-02,SNACKPOST MARKET,14.13,card_A
291,216,2022-01-02,GLIMMERLY,51.10,card_B
292,224,2022-01-02,GLIMMERLY,62.48,card_A
293,224,2022-01-02,GLIMMERLY,65.05,card_A
294,242,2022-01-02,VANTRY MKTPLC,20.08,wallet_W
295,253,2022-01-02,SNACKPOST MARKET,12.93,card_C
296,260,2022-01-02,VANTRY MKTPLC,23.74,card_C
297,261,2022-01-02,GLIMMERLY,99.48,card_A
298,270,2022-01-02,BRAMBLEBOX,59.99,card_B
299,273,2022-01-02,PINEFORT CLUB,39.67,card_C
300,281,2022-01-02,SNACKPOST MARKET,5.68,card_A
301,302,2022-01-02,GLIMMERLY,29.79,card_A
302,359,2022-01-02,GLIMMERLY,5.93,card_A
303,361,2022-01-02,VANTRY MKTPLC,22.27,card_C
304,362,2022-01-02,GLIMMERLY,39.47,card_A
305,401,2022-01-02,GLIMMERLY,31.55,card_A
306,428,2022-01-02,GLIMMERLY,51.93,card_A
307,428,2022-01-02,GLIMMERLY,119.09,card_A
308,513,2022-01-02,GLIMMERLY,42.78,card_A
309,553,2022-01-02,VANTRY MKTPLC,1.94,wallet_W
310,560,2022-01-02,SNACKPOST MARKET,15.16,card_B
311,576,2022-01-02,SNACKPOST MARKET,10.55,card_C
312,626,2022-01-02,BRAMBLEBOX,59.99,wallet_W
313,658,2022-01-02,SNACKPOST MARKET,9.73,card_C
314,712,2022-01-02,GLIMMERLY,33.40,card_B
315,739,2022-01-02,SNACKPOST MARKET,19.81,card_A
316,759,2022-01-02,SNACKPOST MARKET,9.14,card_B
317,770,2022-01-02,SNACKPOST MARKET,31.73,card_A
318,829,2022-01-02,SNACKPOST MARKET,12.89,card_A
319,962,2022-01-02,SNACKPOST MARKET,34.78,card_C
320,984,2022-01-02,GLIMMERLY,13.20,card_B
321,990,2022-01-02,PINEFORT CLUB,32.94,card_A
322,1028,2022-01-02,GLIMMERLY,23.08,card_B
323,1032,2022-01-02,SNACKPOST MARKET,8.80,card_C
324,1061,2022-01-02,VANTRY MKTPLC,67.62,card_B
325,1063,2022-01-02,SNACKPOST MARKET,16.88,wallet_W
326,1076,2022-01-02,GLIMMERLY,44.75,card_A
327,1133,2022-01-02,GLIMMERLY,53.28,card_B
328,1135,2022-01-02,VANTRY MKTPLC,21.08,card_B
329,1171,2022-01-02,BRAMBLEBOX,59.99,card_C
330,1178,2022-01-02,VANTRY MKTPLC,43.81,card_B
331,1257,2022-01-02,VANTRY MKTPLC,167.17,wallet_W
332,1272,2022-01-02,BRAMBLEBOX,59.99,card_B
333,1290,2022-01-02,GLIMMERLY,36.87,card_A
334,1293,2022-01-02,VANTRY MKTPLC,19.89,card_B
335,1293,2022-01-02,VANTRY MKTPLC,79.71,card_B
336,1334,2022-01-02,VANTRY MKTPLC,10.68,card_C
337,1337,2022-01-02,PINEFORT CLUB,51.19,card_C
338,1406,2022-01-02,GLIMMERLY,51.64,card_C
339,1485,2022-01-02,VANTRY MKTPLC,32.02,card_A
340,1485,2022-01-02,VANTRY MKTPLC,44.47,wallet_W
341,1515,2022-01-02,GLIMMERLY,13.95,card_A
342,1521,2022-01-02,VANTRY MKTPLC,102.58,card_A
343,1535,2022-01-02,SNACKPOST MARKET,28.70,card_B
344,1547,2022-01-02,VANTRY MKTPLC,21.29,card_A
345,1560,2022-01-02,VANTRY MKTPLC,28.60,card_C
346,1624,2022-01-02,GLIMMERLY,123.81,card_A
347,1639,2022-01-02,GLIMMERLY,105.80,card_A
348,1644,2022-01-02,BRAMBLEBOX,59.99,card_B
349,1650,2022-01-02,GLIMMERLY,140.57,card_A
350,1660,2022-01-02,GLIMMERLY,18.06,card_A
351,1665,2022-01-02,GLIMMERLY,4.82,card_A
352,1665,2022-01-02,VANTRY MKTPLC,13.80,card_A
353,1671,2022-01-02,VANTRY MKTPLC,17.41,card_C
354,1685,2022-01-02,BRAMBLEBOX,59.99,card_B
355,1715,2022-01-02,PINEFORT CLUB,33.90,card_B
356,1725,2022-01-02,SNACKPOST MARKET,12.20,card_B
357,1728,2022-01-02,SNACKPOST MARKET,27.67,card_A
358,1796,2022-01-02,GLIMMERLY,47.24,card_B
359,1815,2022-01-02,VANTRY MKTPLC,34.89,wallet_W
360,1859,2022-01-02,BRAMBLEBOX,59.99,wallet_W
361,1905,2022-01-02,PINEFORT CLUB,51.66,card_A
362,1973,2022-01-02,SNACKPOST MARKET,8.66,card_B
363,1994,2022-01-02,SNACKPOST MARKET,7.26,card_A
364,2005,2022-01-02,GLIMMERLY,32.11,card_A
365,2009,2022-01-02,BRAMBLEBOX,59.99,card_B
366,2114,2022-01-02,VANTRY MKTPLC,33.05,wallet_W
367,2114,2022-01-02,VANTRY MKTPLC,45.56,wallet_W
368,2142,2022-01-02,SNACKPOST MARKET,11.96,card_C
369,2291,2022-01-02,BRAMBLEBOX,59.99,card_A
370,2330,2022-01-02,VANTRY MKTPLC,15.90,card_A
371,2365,2022-01-02,VANTRY MKTPLC,127.83,card_C
372,2369,2022-01-02,SNACKPOST MARKET,19.76,card_A
373,2396,2022-01-02,VANTRY MKTPLC,15.81,card_B
374,2407,2022-01-02,SNACKPOST MARKET,26.74,card_A
375,2419,2022-01-02,PINEFORT CLUB,44.58,card_C
376,2423,2022-01-02,BRAMBLEBOX,59.99,card_A
377,2448,2022-01-02,PINEFORT CLUB,31.76,card_A
378,2527,2022-01-02,BRAMBLEBOX,59.99,card_A
379,2643,2022-01-02,VANTRY MKTPLC,77.06,wallet_W
380,2653,2022-01-02,PINEFORT CLUB,23.80,card_A
381,2661,2022-01-02,VANTRY MKTPLC,55.54,card_B
382,2670,2022-01-02,SNACKPOST MARKET,5.76,card_A
383,2683,2022-01-02,VANTRY MKTPLC,22.71,wallet_W
384,2723,2022-01-02,GLIMMERLY,31.10,card_A
385,2795,2022-01-02,PINEFORT CLUB,61.02,card_B
386,2826,2022-01-02,BRAMBLEBOX,59.99,wallet_W
387,2827,2022-01-02,GLIMMERLY,159.38,card_C
388,2837,2022-01-02,GLIMMERLY,74.09,card_B
389,2882,2022-01-02,GLIMMERLY,143.01,card_C
390,2901,2022-01-02,SNACKPOST MARKET,10.64,card_A
391,2994,2022-01-02,SNACKPOST MARKET,20.19,card_A
392,3025,2022-01-02,VANTRY MKTPLC,27.68,card_A
393,3069,2022-01-02,PINEFORT CLUB,72.66,wallet_W
394,3081,2022-01-02,VANTRY MKTPLC,14.38,card_A
395,3084,2022-01-02,VANTRY MKTPLC,8.77,card_A
396,3131,2022-01-02,BRAMBLEBOX,59.99,card_A
397,3137,2022-01-02,VANTRY MKTPLC,10.06,card_B
398,3146,2022-01-02,VANTRY MKTPLC,43.21,card_B
399,3170,2022-01-02,VANTRY MKTPLC,46.05,card_B
400,3187,2022-01-02,PINEFORT CLUB,35.21,card_B
401,3200,2022-01-02,SNACKPOST MARKET,12.75,card_A
402,3216,2022-01-02,VANTRY MKTPLC,11.47,card_A
403,3240,2022-01-02,BRAMBLEBOX,59.99,card_B
404,3241,2022-01-02,GLIMMERLY,39.04,card_B
405,3253,2022-01-02,VANTRY MKTPLC,115.20,card_C
406,3290,2022-01-02,VANTRY MKTPLC,28.06,wallet_W
407,3291,2022-01-02,BRAMBLEBOX,59.99,card_B
408,3303,2022-01-02,BRAMBLEBOX,59.99,card_B
409,3311,2022-01-02,GLIMMERLY,84.14,card_A
410,3321,2022-01-02,BRAMBLEBOX,59.99,card_B
411,3334,2022-01-02,PINEFORT CLUB,36.72,card_C
412,3355,2022-01-02,PINEFORT CLUB,65.54,card_A
413,3356,2022-01-02,VANTRY MKTPLC,8.10,card_C
414,3357,2022-01-02,SNACKPOST MARKET,14.69,card_A
415,3365,2022-01-02,VANTRY MKTPLC,137.10,card_B
416,3368,2022-01-02,BRAMBLEBOX,59.99,card_A
417,3505,2022-01-02,PINEFORT CLUB,12.14,card_A
418,3509,2022-01-02,VANTRY MKTPLC,27.40,card_A
419,3517,2022-01-02,BRAMBLEBOX,59.99,card_A
420,3526,2022-01-02,GLIMMERLY,15.73,card_B
421,3557,2022-01-02,VANTRY MKTPLC,71.59,card_B
422,3576,2022-01-02,PINEFORT CLUB,41.70,card_A
423,3604,2022-01-02,SNACKPOST MARKET,2.79,card_A
424,3607,2022-01-02,SNACKPOST MARKET,17.49,card_C
425,3629,2022-01-02,BRAMBLEBOX,59.99,card_B
426,3662,2022-01-02,GLIMMERLY,43.04,card_C
427,3671,2022-01-02,VANTRY MKTPLC,26.45,card_A
428,3703,2022-01-02,VANTRY MKTPLC,25.39,card_C
429,3719,2022-01-02,GLIMMERLY,23.21,card_A
430,3722,2022-01-02,BRAMBLEBOX,59.99,card_A
431,3725,2022-01-02,BRAMBLEBOX,59.99,card_A
432,3736,2022-01-02,VANTRY MKTPLC,19.52,card_B
433,3738,2022-01-02,VANTRY MKTPLC,23.20,card_A
434,3745,2022-01-02,VANTRY MKTPLC,6.89,wallet_W
435,3749,2022-01-02,VANTRY MKTPLC,25.00,card_C
436,3776,2022-01-02,VANTRY MKTPLC,13.31,card_B
437,3795,2022-01-02,SNACKPOST MARKET,2.44,card_B
438,3845,2022-01-02,BRAMBLEBOX,59.99,card_B
439,3877,2022-01-02,SNACKPOST MARKET,10.55,card_B
440,3881,2022-01-02,VANTRY MKTPLC,30.59,card_A
441,3905,2022-01-02,VANTRY MKTPLC,32.87,card_A
442,4014,2022-01-02,SNACKPOST MARKET,7.94,card_A
443,4017,2022-01-02,VANTRY MKTPLC,62.07,card_A
